"SYMBOL 
","SERIES 
","BOND TYPE 
","COUPON RATE 
","FACE VALUE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE 
 (₹ Crores)"," 
","CREDIT RATING 
","MATURITY DATE 
"
"965SCL26F","N1","Regular","9.65","1,000.00","1,050.00","0.96","6,258","0.65",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2026"
"76NHAI31","NA","Regular","7.60","1,000.00","1,116.00","0.36","2,799","0.31",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","11-Jan-2031"
"751HUDCO28","N5","Regular","7.51","1,000.00","1,075.00","-0.05","2,762","0.30",,"CARE AA+ / IND AA+","16-Feb-2028"
"871REC28","N9","Regular","8.71","1,000.00","1,135.60","-0.08","2,240","0.25",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","24-Sep-2028"
"888REC29","NF","Regular","8.88","1,000.00","1,159.79","-0.02","2,125","0.24",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA ","24-Mar-2029"
"865IRFC29","NA","Regular","8.65","1,000.00","1,112.83","-0.64","2,091","0.23",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","18-Feb-2029"
"893NHB29","N6","Regular","8.93","5,000.00","5,630.51","-","383","0.22",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA STABLE","24-Mar-2029"
"888IRFC29","NE","Regular","8.88","1,000.00","1,131.20","-0.19","1,650","0.19",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","26-Mar-2029"
"875NHAI29","N6","Regular","8.75","1,000.00","1,142.60","-0.30","1,459","0.17",,"CRISIL AAA STABLE / CARE AAA / BWR AAA STABLE ","05-Feb-2029"
"760PFCL35","N3","Regular","-","-","1,220.00","0.49","1,071","0.13",,,"17-Oct-2035"
"10IIFL29","N6","Regular","10.00","1,000.00","1,000.00","1.01","1,302","0.13",,"CRISIL AA STABLE / ICRA AA STABLE / BWR AA+ STABLE","07-Feb-2029"
"935LTF29","N5","Regular","9.35","1,000.00","1,089.80","1.46","1,185","0.13",,"FITCH AA+","13-Mar-2029"
"879SCL26","NC",,"-","-","969.00","-0.04","1,254","0.12",,,"-"
"10IIFL28","N4","Regular","10.00","1,000.00","980.00","-8.58","1,111","0.11",,"CRISIL AA Stable / BWR AA+  Negative","03-Nov-2028"
"810IRFC27","N2","Regular","8.10","1,000.00","1,096.01","-0.03","1,001","0.11",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","23-Feb-2027"
"769HUDCO31","N9","Regular","-","-","1,140.00","0.44","917","0.10",,,"15-Mar-2031"
"865LTF26","NN",,"-","-","1,056.49","0.43","944","0.10",,,"-"
"764IRFC31","NO","Regular","7.64","1,000.00","1,160.00","0.43","822","0.10",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","22-Mar-2031"
"901NHB34","N6","Regular","9.01","5,000.00","6,430.00","-0.29","147","0.09",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA STABLE","13-Jan-2034"
"865IIFL28","NS","Regular","8.65","1,000.00","980.00","0.31","933","0.09",,"CRISIL AA Stable / ICRA AA  Stable","24-Jan-2028"
"892PFCL33","N8","Regular","-","-","1,270.00","-0.36","550","0.07",,,"16-Nov-2033"
"985ECL28","NK","Regular","9.85","1,000.00","1,065.00","-0.09","649","0.07",,"CRISIL AA STABLE / ICRA AA STABLE","06-Aug-2028"
"753IRFC30","NJ","Regular","7.53","1,000.00","1,137.00","-0.26","577","0.07",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","21-Dec-2030"
"10NIDO26","N6","Regular","10.00","1,000.00","992.50","0.34","634","0.06",,"CARE AA Stable / ICRA AA Stable / BWR AA+ stable","19-Jul-2026"
"812REC27","NI","Regular","-","-","1,040.50","0.11","600","0.06",,,"27-Mar-2027"
"930APMD32","N0",,"-","-","1,03,315.30","0.07","6","0.06",,,"-"
"9SCL26BA","NA",,"-","-","1,042.00","-","591","0.06",,,"-"
"10IIFL28A","NE","Regular","10.00","1,000.00","1,002.07","-0.13","604","0.06",,"CRISIL AA Negative / BWR AA+ Negative","24-Jun-2028"
"876HUDCO28","ND","Regular","-","-","1,154.00","-0.35","505","0.06",,,"25-Oct-2028"
"738REC27TF","N2","Regular","7.38","1,000.00","1,082.02","-0.27","512","0.06",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","19-Dec-2027"
"M&MFIN","N3","Regular","-","-","2,190.00","-","250","0.05",,,"06-Jun-2026"
"865TCAPS27","N8",,"-","-","1,092.00","0.18","491","0.05",,,"-"
"729NHAI26","NC","Regular","7.29","1,000.00","1,061.55","-0.32","407","0.04",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","09-Mar-2026"
"915SCL26","NE",,"-","-","1,043.15","0.79","401","0.04",,,"-"
"935TSIIC28","N0",,"-","-","1,01,695.55","0.07","4","0.04",,,"-"
"880IREDA34","N6","Regular","8.80","1,000.00","1,255.00","0.55","306","0.04",,"CARE AAA (SO) / BWR AAA (SO) STABLE","13-Mar-2034"
"842IIFL26","NL","Regular","8.42","1,000.00","982.00","-0.30","388","0.04",,"CRISIL AA Stable/ BWR AA+ Negative","14-Oct-2026"
"96IIFL28A","NF","Regular","9.60","1,000.00","985.00","-0.45","380","0.04",,"CRISIL AA Negative / BWR AA+ Negative","24-Jun-2028"
"830NHAI27","N2","Regular","8.30","1,000.00","1,105.00","-0.09","314","0.03",,"CRISIL AAA STABLE / CARE AAA / IND AAA STABLE ","25-Jan-2027"
"840CIFCL28","N4","Regular","8.40","1,000.00","1,031.00","2.46","300","0.03",,"ICRA AA+","04-May-2028"
"957NIDO26","N5","Regular","9.57","1,000.00","990.60","2.12","313","0.03",,"CARE AA Stable / ICRA AA Stable / BWR AA+ stable","19-Jul-2026"
"739NHAI26","N8","Regular","7.39","1,000.00","1,028.00","0.19","300","0.03",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","11-Jan-2026"
