"SYMBOL 
","SERIES 
","ISIN 
","FACE VALUE 
","OPEN 
","HIGH 
","LOW 
","LTP 
","PREV.CLOSE 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)"
"736GS2052","GS","IN0020220086","100.00","105.75","108.99","105.75","108.99","107.00","1.86",3,"-"
"622GS2035","GS","IN0020200245","100.00","98.42","98.42","98.01","98.01","96.40","1.67",2,"-"
"704GS2029","GS","IN0020240050","100.00","104.22","104.65","103.81","104.65","103.25","1.36",7999,"0.08"
"92GS2030","GS","IN0020130053","100.00","115.75","117.50","115.75","117.50","116.29","1.04",2101,"0.02"
"692GS2039","GS","IN0020240134","100.00","103.10","104.15","103.10","104.15","103.10","1.02",5900,"0.06"
"702GS2031","GS","IN0020240076","100.00","104.50","104.50","104.50","104.50","103.50","0.97",100,"-"
"726GS2029","GS","IN0020180454","100.00","103.75","103.75","103.75","103.75","102.76","0.96",900,"0.01"
"706GS2028","GS","IN0020230010","100.00","104.50","104.90","104.50","104.90","104.00","0.87",650,"0.01"
"746GS2073","GS","IN0020230127","100.00","107.05","108.07","107.05","107.90","107.00","0.84",2050,"0.02"
"699GS2026","GS","IN0020230028","100.00","102.90","102.90","102.90","102.90","102.06","0.82",1,"-"
"676GS2061","GS","IN0020200401","100.00","100.30","100.30","100.30","100.30","99.50","0.80",1,"-"
"718GS2033","GS","IN0020230085","100.00","107.90","108.10","107.90","108.00","107.15","0.79",142509,"1.54"
"182D201125","TB","IN002025Y081","100.00","98.10","98.10","98.10","98.10","97.41","0.71",100,"-"
"717GS2030","GS","IN0020230036","100.00","105.91","106.50","105.91","106.50","105.81","0.65",400,"-"
"732GS2030","GS","IN0020230135","100.00","106.00","106.00","106.00","106.00","105.34","0.63",3200,"0.03"
"75AP28","SG","IN1020220589","100.00","-","-","-","100.00","99.42","0.58",0,"-"
"364D041225","TB","IN002024Z347","100.00","97.55","97.55","97.55","97.55","97.00","0.57",20000,"0.20"
"741GS2036","GS","IN0020220102","100.00","108.00","108.05","108.00","108.05","107.50","0.51",4001,"0.04"
"664GS2035","GS","IN0020210020","100.00","100.35","100.35","100.35","100.35","99.85","0.50",10,"-"
"68GS2060","GS","IN0020200187","100.00","98.25","98.80","97.75","98.70","98.25","0.46",2158,"0.02"
"726GS2032","GS","IN0020220060","100.00","108.00","108.80","108.00","108.60","108.18","0.39",26858,"0.29"
"667GS2035","GS","IN0020210152","100.00","102.40","102.59","102.40","102.59","102.20","0.38",1503,"0.02"
"364D301025","TB","IN002024Z297","100.00","98.49","98.49","98.49","98.49","98.13","0.37",100,"-"
"718GS2037","GS","IN0020230077","100.00","108.01","108.80","108.01","108.50","108.15","0.32",70361,"0.76"
"1018GS2026","GS","IN0020010081","100.00","106.67","108.65","106.65","108.65","108.30","0.32",4155,"0.04"
"364D240426","TB","IN002025Z047","100.00","95.75","95.75","95.75","95.75","95.50","0.26",800,"0.01"
"754GS2036","GS","IN0020220029","100.00","109.50","110.30","109.50","109.90","109.65","0.23",334976,"3.68"
"182D110925","TB","IN002024Y480","100.00","99.20","99.20","99.20","99.20","99.00","0.20",200,"-"
"633GS2035","GS","IN0020250026","100.00","100.60","100.60","100.60","100.60","100.40","0.20",100,"-"
"824GS2027","GS","IN0020060078","100.00","105.75","107.00","105.75","107.00","106.80","0.19",41,"-"
"364D111225","TB","IN002024Z354","100.00","97.78","97.78","97.78","97.78","97.60","0.18",100,"-"
"91D010825","TB","IN002025X059","100.00","99.75","99.75","99.75","99.75","99.62","0.13",1900,"0.02"
"364D240725","TB","IN002024Z172","100.00","99.80","99.80","99.80","99.80","99.70","0.10",19000,"0.19"
"91D070825","TB","IN002025X067","100.00","99.69","99.69","99.68","99.68","99.60","0.08",1000,"0.01"
"679GS2031","GS","IN0020240191","100.00","102.50","102.50","102.50","102.50","102.42","0.08",900,"0.01"
"664GS2027","GS","IN0020240167","100.00","101.55","101.55","101.55","101.55","101.50","0.05",50,"-"
