Funds,Minimum Investment,Expense Ratio (%),Exit Load (Period),Fund Manager (Tenure)
360 ONE Gold ETF,500.00,0.43,--,Rahul Khetawat (0.4)
360 ONE Silver ETF,"1,000",0.41,--,Rahul Khetawat (0.4)
Aditya Birla Sun Life Gold ETF,"5,000",0.47,--,Sachin Wankhede (3.4)
Aditya Birla Sun Life Gold Fund - Direct Plan,100.00,0.20,1.00 (15),Priya Sridhar (0.6)
Aditya Birla Sun Life Silver ETF,500.00,0.35,--,Sachin Wankhede (3.5)
Aditya Birla Sun Life Silver ETF FoF - Direct Plan,100.00,0.30,0.50 (30),Priya Sridhar (0.6)
Axis Gold ETF,"5,000",0.54,--,"Pratik Tibrewal (0.5), Aditya Pagaria (1.2)"
Axis Gold Fund - Direct Plan,100.00,0.17,1.00 (15),"Pratik Tibrewal (0.5), Aditya Pagaria (3.7)"
Axis Silver ETF,500.00,0.37,--,"Pratik Tibrewal (0.5), Aditya Pagaria (1.2)"
Axis Silver FoF - Direct Plan,"5,000",0.16,0.25 (7),"Pratik Tibrewal (0.5), Aditya Pagaria (2.9)"
Baroda BNP Paribas Gold ETF,"5,000",0.59,--,"Madhav Vyas (0.6), Gurvinder Singh Wasan (0.8)"
DSP Gold ETF,"5,000",0.45,--,Ravi Gehani (2.3)
DSP Gold ETF FoF - Direct Plan,100.00,0.65,--,"Diipesh Shah (1.7), Anil Ghelani (1.7)"
DSP Silver ETF,"5,000",0.40,--,Ravi Gehani (3)
DSP Silver ETF FoF - Direct Plan,100.00,0.56,--,"Anil Ghelani (0.2), Diipesh Shah (0.2)"
Edelweiss Gold and Silver ETF FoF - Direct Plan,100.00,0.05,0.10 (15),"Bhavesh Jain (2.9), Bharat Lahoti (2.9)"
Edelweiss Gold ETF,"5,000",0.45,--,Amit Vora (1.1)
Edelweiss Silver ETF,"5,000",0.45,--,Amit Vora (1.1)
Groww Gold ETF,500.00,0.51,--,Wilfred Peter Gonsalves (0.8)
Groww Gold ETF FOF - Direct Plan,500.00,0.23,1.00 (30),Wilfred Peter Gonsalves (0.8)
Groww Silver ETF,500.00,0.43,--,Wilfred Peter Gonsalves (0.2)
Groww Silver ETF FoF - Direct Plan,500.00,0.18,1.00 (30),Wilfred Peter Gonsalves (0.2)
HDFC Gold ETF,"5,000",0.59,--,Bhagyesh Kagalkar (3.5)
HDFC Gold ETF Fund of Fund - Direct Plan,100.00,0.18,1.00 (15),"Arun Agarwal (2.4), Nandita Menezes (0.3)"
HDFC Silver ETF,500.00,0.45,--,Bhagyesh Kagalkar (2.9)
HDFC Silver ETF FoF - Direct Plan,100.00,0.32,1.00 (15),"Arun Agarwal (2.4), Nandita Menezes (0.3)"
ICICI Prudential Gold Exchange Traded Fund,"5,000",0.50,--,"Gaurav Chikane (4), Nishit Patel (0.6)"
ICICI Prudential Regular Gold Savings Fund (FOF) - Direct Plan,100.00,0.09,1.00 (15),"Manish Banthia (12.6), Nishit Patel (4.6)"
ICICI Prudential Silver ETF,100.00,0.40,--,"Nishit Patel (0.6), Gaurav Chikane (3.6)"
ICICI Prudential Silver ETF FoF - Direct Plan,100.00,0.12,1.00 (15),"Nishit Patel (3.5), Manish Banthia (3.5)"
