Funds,3 Yr Ret (%),3 Yr Rank,5 Yr Ret (%),5 Yr Rank,10 Yr Ret (%),10 Yr Rank,15 Yr Ret (%),15 Yr Rank,20 Yr Ret (%),20 Yr Rank
360 ONE Gold ETF,--,--,--,--,--,--,--,--,--,--
360 ONE Silver ETF,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Gold ETF,23.18,10/21,13.01,5/21,13.76,4/21,--,--,--,--
Aditya Birla Sun Life Gold Fund - Direct Plan,23.45,3/10,12.90,6/10,13.24,8/10,--,--,--,--
Aditya Birla Sun Life Silver ETF,27.05,1/6,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Silver ETF FoF - Direct Plan,26.31,1/3,--,--,--,--,--,--,--,--
Axis Gold ETF,23.25,8/21,13.10,3/21,13.46,11/21,--,--,--,--
Axis Gold Fund - Direct Plan,23.29,7/10,13.07,2/10,13.13,9/10,--,--,--,--
Axis Silver ETF,--,--,--,--,--,--,--,--,--,--
Axis Silver FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Baroda BNP Paribas Gold ETF,--,--,--,--,--,--,--,--,--,--
DSP Gold ETF,--,--,--,--,--,--,--,--,--,--
DSP Gold ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
DSP Silver ETF,--,--,--,--,--,--,--,--,--,--
DSP Silver ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Edelweiss Gold and Silver ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Edelweiss Gold ETF,--,--,--,--,--,--,--,--,--,--
Edelweiss Silver ETF,--,--,--,--,--,--,--,--,--,--
Groww Gold ETF,--,--,--,--,--,--,--,--,--,--
Groww Gold ETF FOF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Groww Silver ETF,--,--,--,--,--,--,--,--,--,--
Groww Silver ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
HDFC Gold ETF,23.17,11/21,12.96,7/21,13.70,5/21,--,--,--,--
HDFC Gold ETF Fund of Fund - Direct Plan,23.41,4/10,12.90,5/10,13.41,4/10,--,--,--,--
HDFC Silver ETF,--,--,--,--,--,--,--,--,--,--
HDFC Silver ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
ICICI Prudential Gold Exchange Traded Fund,23.27,7/21,13.03,4/21,13.60,10/21,--,--,--,--
ICICI Prudential Regular Gold Savings Fund (FOF) - Direct Plan,23.35,5/10,12.89,7/10,13.12,10/10,--,--,--,--
ICICI Prudential Silver ETF,27.00,2/6,--,--,--,--,--,--,--,--
ICICI Prudential Silver ETF FoF - Direct Plan,26.21,2/3,--,--,--,--,--,--,--,--
Invesco India Gold ETF,23.42,4/21,13.14,2/21,13.82,2/21,10.77,1/6,--,--
Invesco India Gold ETF FoF - Direct Plan,22.62,10/10,13.02,3/10,13.31,7/10,--,--,--,--
Kotak Gold ETF,23.20,9/21,12.99,6/21,13.69,6/21,10.66,4/6,--,--
Kotak Gold Fund - Direct Plan,23.13,9/10,12.83,8/10,13.76,1/10,--,--,--,--
Kotak Silver ETF,--,--,--,--,--,--,--,--,--,--
Kotak Silver ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
LIC MF Gold ETF,23.58,2/21,13.31,1/21,14.00,1/21,--,--,--,--
LIC MF Gold ETF FoF - Direct Plan,24.09,1/10,13.36,1/10,13.32,5/10,--,--,--,--
Mirae Asset Gold ETF,--,--,--,--,--,--,--,--,--,--
Mirae Asset Gold ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Mirae Asset Silver ETF,--,--,--,--,--,--,--,--,--,--
Motilal Oswal Gold and Silver ETFs FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Motilal Oswal Gold ETF,--,--,--,--,--,--,--,--,--,--
Nippon India ETF Gold BeES,23.04,13/21,12.78,13/21,13.60,9/21,10.60,6/6,--,--
Nippon India Gold Savings Fund - Direct Plan,23.30,6/10,12.68,10/10,13.31,6/10,--,--,--,--
Nippon India Silver ETF,26.45,3/6,--,--,--,--,--,--,--,--
Nippon India Silver ETF FoF - Direct Plan,25.99,3/3,--,--,--,--,--,--,--,--
Quantum Gold Fund,23.27,6/21,12.95,9/21,13.64,8/21,10.65,5/6,--,--
Quantum Gold Savings Fund - Direct Plan,23.48,2/10,12.83,9/10,13.41,3/10,--,--,--,--
SBI Gold ETF,23.06,12/21,12.92,10/21,13.64,7/21,10.70,3/6,--,--
SBI Gold Fund - Direct Plan,23.22,8/10,12.99,4/10,13.41,2/10,--,--,--,--
SBI Silver ETF,--,--,--,--,--,--,--,--,--,--
SBI Silver ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Tata Gold ETF,--,--,--,--,--,--,--,--,--,--
Tata Gold ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Tata Silver ETF,--,--,--,--,--,--,--,--,--,--
Tata Silver ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Union Gold ETF,--,--,--,--,--,--,--,--,--,--
Union Gold ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
UTI Gold ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
UTI Gold Exchange Traded Fund,23.60,1/21,12.96,8/21,13.76,3/21,10.71,2/6,--,--
UTI Silver ETF,--,--,--,--,--,--,--,--,--,--
UTI Silver ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Zerodha Gold ETF,--,--,--,--,--,--,--,--,--,--
Zerodha Gold ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Zerodha Silver ETF,--,--,--,--,--,--,--,--,--,--
Zerodha Silver ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
