Funds,Fund Risk Grade,Fund Return Grade,Riskometer,Standard Deviation,Sharpe Ratio,Sortino Ratio,Beta,Alpha,Information Ratio,R-Squared
360 ONE Gold ETF,--,--,High,--,--,--,--,--,--,--
360 ONE Silver ETF,--,--,Very High,--,--,--,--,--,--,--
Aditya Birla Sun Life Gold ETF,--,--,High,11.94,1.23,2.63,0.98,-0.53,-0.51,0.98
Aditya Birla Sun Life Gold Fund - Direct Plan,Average,Average,High,11.41,1.28,2.79,0.93,0.10,-0.50,0.98
Aditya Birla Sun Life Silver ETF,--,--,Very High,21.64,0.70,1.74,0.99,-0.35,-0.10,0.96
Aditya Birla Sun Life Silver ETF FoF - Direct Plan,--,--,Very High,20.31,0.70,1.59,0.95,-0.49,-0.63,0.99
Axis Gold ETF,--,--,High,11.51,1.28,2.64,0.92,0.37,-0.28,0.93
Axis Gold Fund - Direct Plan,Low,Below Average,High,11.52,1.25,2.71,0.94,-0.27,-0.64,0.98
Axis Silver ETF,--,--,Very High,--,--,--,--,--,--,--
Axis Silver FoF - Direct Plan,--,--,Very High,--,--,--,--,--,--,--
Baroda BNP Paribas Gold ETF,--,--,High,--,--,--,--,--,--,--
DSP Gold ETF,--,--,High,--,--,--,--,--,--,--
DSP Gold ETF FoF - Direct Plan,Above Average,Below Average,High,--,--,--,--,--,--,--
DSP Silver ETF,--,--,Very High,--,--,--,--,--,--,--
DSP Silver ETF FoF - Direct Plan,--,--,Very High,--,--,--,--,--,--,--
Edelweiss Gold and Silver ETF FoF - Direct Plan,High,Low,Very High,--,--,--,--,--,--,--
Edelweiss Gold ETF,--,--,High,--,--,--,--,--,--,--
Edelweiss Silver ETF,--,--,Very High,--,--,--,--,--,--,--
Groww Gold ETF,--,--,High,--,--,--,--,--,--,--
Groww Gold ETF FOF - Direct Plan,--,--,High,--,--,--,--,--,--,--
Groww Silver ETF,--,--,Very High,--,--,--,--,--,--,--
Groww Silver ETF FoF - Direct Plan,--,--,Very High,--,--,--,--,--,--,--
HDFC Gold ETF,--,--,High,11.91,1.23,2.58,0.97,-0.37,-0.37,0.96
HDFC Gold ETF Fund of Fund - Direct Plan,Average,Below Average,Very High,11.75,1.25,2.75,0.97,-0.40,-0.64,0.99
HDFC Silver ETF,--,--,Very High,--,--,--,--,--,--,--
HDFC Silver ETF FoF - Direct Plan,--,--,Very High,--,--,--,--,--,--,--
ICICI Prudential Gold Exchange Traded Fund,--,--,High,11.84,1.25,2.63,0.96,-0.14,-0.31,0.95
ICICI Prudential Regular Gold Savings Fund (FOF) - Direct Plan,Above Average,Above Average,High,11.91,1.22,2.70,0.98,-0.69,-0.76,0.99
ICICI Prudential Silver ETF,--,--,Very High,21.81,0.69,1.78,1.01,-0.57,-0.13,0.97
ICICI Prudential Silver ETF FoF - Direct Plan,--,--,Very High,20.68,0.69,1.60,0.97,-0.66,-0.66,0.99
Invesco India Gold ETF,--,--,High,12.22,1.21,2.67,0.99,-0.70,-0.35,0.96
Invesco India Gold ETF FoF - Direct Plan,Average,Below Average,High,11.69,1.23,2.53,0.95,-0.53,-0.63,0.97
Kotak Gold ETF,--,--,High,11.90,1.23,2.55,0.96,-0.29,-0.34,0.95
Kotak Gold Fund - Direct Plan,Above Average,Average,High,11.71,1.24,2.60,0.96,-0.45,-0.66,0.98
Kotak Silver ETF,--,--,Very High,--,--,--,--,--,--,--
Kotak Silver ETF FoF - Direct Plan,--,--,Very High,--,--,--,--,--,--,--
LIC MF Gold ETF,--,--,High,12.55,1.20,2.54,1.02,-0.81,-0.22,0.96
LIC MF Gold ETF FoF - Direct Plan,Average,High,High,11.84,1.27,2.83,0.97,0.01,-0.26,0.97
Mirae Asset Gold ETF,--,--,High,--,--,--,--,--,--,--
Mirae Asset Gold ETF FoF - Direct Plan,--,--,Very High,--,--,--,--,--,--,--
Mirae Asset Silver ETF,--,--,Very High,--,--,--,--,--,--,--
Motilal Oswal Gold and Silver ETFs FoF - Direct Plan,Above Average,Below Average,Very High,--,--,--,--,--,--,--
Motilal Oswal Gold ETF,--,--,High,--,--,--,--,--,--,--
Nippon India ETF Gold BeES,--,--,High,11.81,1.23,2.57,0.96,-0.33,-0.40,0.95
Nippon India Gold Savings Fund - Direct Plan,High,Average,High,11.77,1.23,2.77,0.97,-0.60,-0.84,0.99
Nippon India Silver ETF,--,--,Very High,21.80,0.66,1.55,1.01,-1.35,-0.37,0.98
Nippon India Silver ETF FoF - Direct Plan,--,--,Very High,20.89,0.67,1.54,0.97,-1.06,-0.76,0.99
Quantum Gold Fund,--,--,High,12.45,1.18,2.73,1.01,-1.04,-0.36,0.96
Quantum Gold Savings Fund - Direct Plan,Average,Average,High,11.86,1.23,2.71,0.98,-0.57,-0.71,0.99
SBI Gold ETF,--,--,High,12.12,1.20,2.50,0.98,-0.64,-0.36,0.95
SBI Gold Fund - Direct Plan,Below Average,Above Average,Very High,11.84,1.23,2.81,0.97,-0.58,-0.75,0.99
SBI Silver ETF,--,--,Very High,--,--,--,--,--,--,--
SBI Silver ETF FoF - Direct Plan,--,--,Very High,--,--,--,--,--,--,--
Tata Gold ETF,--,--,High,--,--,--,--,--,--,--
Tata Gold ETF FoF - Direct Plan,--,--,High,--,--,--,--,--,--,--
Tata Silver ETF,--,--,Very High,--,--,--,--,--,--,--
Tata Silver ETF FoF - Direct Plan,--,--,Very High,--,--,--,--,--,--,--
Union Gold ETF,--,--,High,--,--,--,--,--,--,--
Union Gold ETF FoF - Direct Plan,--,--,High,--,--,--,--,--,--,--
UTI Gold ETF FoF - Direct Plan,Below Average,High,Very High,--,--,--,--,--,--,--
UTI Gold Exchange Traded Fund,--,--,High,12.59,1.19,2.52,1.03,-1.12,-0.34,0.98
UTI Silver ETF,--,--,Very High,--,--,--,--,--,--,--
UTI Silver ETF FoF - Direct Plan,--,--,Very High,--,--,--,--,--,--,--
Zerodha Gold ETF,--,--,High,--,--,--,--,--,--,--
Zerodha Gold ETF FoF - Direct Plan,--,--,High,--,--,--,--,--,--,--
Zerodha Silver ETF,--,--,Very High,--,--,--,--,--,--,--
Zerodha Silver ETF FoF - Direct Plan,--,--,Very High,--,--,--,--,--,--,--
