Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
360 ONE Gold ETF,0.23,24/37,1.21,16/37,2.74,13/37,--,--,--,--
360 ONE Silver ETF,1.47,17/25,8.48,19/25,16.64,18/22,--,--,--,--
Aditya Birla Sun Life Gold ETF,0.24,20/37,1.22,13/37,2.77,7/37,21.70,6/34,42.59,8/31
Aditya Birla Sun Life Gold Fund - Direct Plan,0.13,20/20,1.15,17/20,2.45,16/20,20.90,14/19,39.33,6/16
Aditya Birla Sun Life Silver ETF,1.48,9/25,8.54,8/25,16.82,3/22,24.77,3/21,38.71,4/21
Aditya Birla Sun Life Silver ETF FoF - Direct Plan,1.54,4/13,8.67,2/12,16.83,5/10,24.89,4/9,37.71,4/9
Axis Gold ETF,0.23,29/37,1.20,19/37,2.75,10/37,21.67,7/34,42.59,9/31
Axis Gold Fund - Direct Plan,0.46,9/20,1.32,7/20,2.36,18/20,20.37,17/19,32.12,16/16
Axis Silver ETF,1.48,10/25,8.53,9/25,16.79,5/22,24.73,7/21,38.65,6/21
Axis Silver FoF - Direct Plan,1.56,3/13,8.46,11/12,16.45,10/10,24.68,7/9,37.69,5/9
Baroda BNP Paribas Gold ETF,0.23,27/37,1.19,22/37,2.74,14/37,21.55,12/34,42.24,15/31
DSP Gold ETF,0.24,18/37,1.21,15/37,2.77,8/37,21.59,10/34,42.32,13/31
DSP Gold ETF FoF - Direct Plan,0.18,19/20,1.09,20/20,2.49,14/20,20.78,16/19,40.41,4/16
DSP Silver ETF,1.48,11/25,8.52,10/25,16.77,7/22,24.67,9/21,38.46,9/21
DSP Silver ETF FoF - Direct Plan,1.51,7/13,8.51,8/12,--,--,--,--,--,--
Edelweiss Gold and Silver ETF FoF - Direct Plan,0.83,1/20,4.81,1/20,9.54,1/20,22.94,1/19,39.17,8/16
Edelweiss Gold ETF,0.23,23/37,1.20,18/37,2.73,15/37,21.40,14/34,42.09,17/31
Edelweiss Silver ETF,1.47,16/25,8.51,16/25,16.70,16/22,24.53,14/21,38.29,11/21
Groww Gold ETF,0.23,28/37,1.19,25/37,2.75,11/37,21.30,15/34,--,--
Groww Gold ETF FOF - Direct Plan,0.34,16/20,1.14,18/20,2.63,6/20,20.05,19/19,--,--
Groww Silver ETF,1.45,19/25,8.41,23/25,--,--,--,--,--,--
Groww Silver ETF FoF - Direct Plan,1.24,13/13,8.26,12/12,--,--,--,--,--,--
HDFC Gold ETF,0.23,31/37,1.18,28/37,2.73,16/37,20.40,30/34,42.77,5/31
HDFC Gold ETF Fund of Fund - Direct Plan,0.41,12/20,1.23,10/20,2.59,10/20,21.25,8/19,36.42,13/16
HDFC Silver ETF,1.48,7/25,8.51,15/25,16.77,8/22,23.98,20/21,38.77,3/21
HDFC Silver ETF FoF - Direct Plan,1.35,12/13,8.62,3/12,16.77,6/10,24.69,6/9,37.57,7/9
ICICI Prudential Gold Exchange Traded Fund,0.24,21/37,1.21,14/37,2.77,9/37,21.71,5/34,42.68,6/31
ICICI Prudential Regular Gold Savings Fund (FOF) - Direct Plan,0.33,17/20,1.18,14/20,2.56,11/20,21.29,7/19,39.70,5/16
ICICI Prudential Silver ETF,1.48,8/25,8.54,7/25,16.81,4/22,24.73,6/21,38.65,5/21
ICICI Prudential Silver ETF FoF - Direct Plan,1.51,6/13,8.60,4/12,16.96,1/10,25.02,2/9,37.87,3/9
