Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Analysts' View,Expense Ratio (%),Launch,Net Assets (Cr)
360 ONE Gold ETF,--,--,--,High,Gold-Funds,Unlock,0.43,2025-03-07,15.00
360 ONE Silver ETF,--,--,--,Very High,Silver-Funds,Unlock,0.41,2025-03-28,9.00
Aditya Birla Sun Life Gold ETF,--,42.59,8/31,High,Gold-Funds,Unlock,0.47,2011-05-13,"1,133"
Aditya Birla Sun Life Gold Fund - Direct Plan,3,39.33,6/16,High,Gold-Funds,Unlock,0.20,2013-01-01,636.00
Aditya Birla Sun Life Silver ETF,--,38.71,4/21,Very High,Silver-Funds,Unlock,0.35,2022-01-31,820.00
Aditya Birla Sun Life Silver ETF FoF - Direct Plan,--,37.71,4/9,Very High,Silver-Funds,Unlock,0.30,2022-02-02,253.00
Axis Gold ETF,--,42.59,9/31,High,Gold-Funds,Unlock,0.54,2010-11-10,"1,839"
Axis Gold Fund - Direct Plan,4,32.12,16/16,High,Gold-Funds,Unlock,0.17,2013-01-01,"1,121"
Axis Silver ETF,--,38.65,6/21,Very High,Silver-Funds,Unlock,0.37,2022-09-21,277.00
Axis Silver FoF - Direct Plan,--,37.69,5/9,Very High,Silver-Funds,Unlock,0.16,2022-09-21,142.00
Baroda BNP Paribas Gold ETF,--,42.24,15/31,High,Gold-Funds,Unlock,0.59,2023-12-13,119.00
DSP Gold ETF,--,42.32,13/31,High,Gold-Funds,Unlock,0.45,2023-04-28,756.00
DSP Gold ETF FoF - Direct Plan,2,40.41,4/16,High,Gold-Funds,Unlock,0.65,2023-11-17,99.00
DSP Silver ETF,--,38.46,9/21,Very High,Silver-Funds,Unlock,0.40,2022-08-19,740.00
DSP Silver ETF FoF - Direct Plan,--,--,--,Very High,Silver-Funds,Unlock,0.56,2025-05-15,94.00
Edelweiss Gold and Silver ETF FoF - Direct Plan,1,39.17,8/16,Very High,Gold-Funds,Unlock,0.05,2022-09-14,393.00
Edelweiss Gold ETF,--,42.09,17/31,High,Gold-Funds,Unlock,0.45,2023-11-07,203.00
Edelweiss Silver ETF,--,38.29,11/21,Very High,Silver-Funds,Unlock,0.45,2023-11-21,204.00
Groww Gold ETF,--,--,--,High,Gold-Funds,Unlock,0.51,2024-10-22,103.00
Groww Gold ETF FOF - Direct Plan,--,--,--,High,Gold-Funds,Unlock,0.23,2024-11-06,32.00
Groww Silver ETF,--,--,--,Very High,Silver-Funds,Unlock,0.43,2025-05-21,30.00
Groww Silver ETF FoF - Direct Plan,--,--,--,Very High,Silver-Funds,Unlock,0.18,2025-05-23,15.00
HDFC Gold ETF,--,42.77,5/31,High,Gold-Funds,Unlock,0.59,2010-08-13,"10,224"
HDFC Gold ETF Fund of Fund - Direct Plan,3,36.42,13/16,Very High,Gold-Funds,Unlock,0.18,2013-01-01,"4,272"
HDFC Silver ETF,--,38.77,3/21,Very High,Silver-Funds,Unlock,0.45,2022-09-02,933.00
HDFC Silver ETF FoF - Direct Plan,--,37.57,7/9,Very High,Silver-Funds,Unlock,0.32,2022-10-28,403.00
ICICI Prudential Gold Exchange Traded Fund,--,42.68,6/31,High,Gold-Funds,Unlock,0.50,2010-08-24,"7,850"
ICICI Prudential Regular Gold Savings Fund (FOF) - Direct Plan,2,39.70,5/16,High,Gold-Funds,Unlock,0.09,2013-01-01,"2,274"
ICICI Prudential Silver ETF,--,38.65,5/21,Very High,Silver-Funds,Unlock,0.40,2022-01-24,"6,254"
ICICI Prudential Silver ETF FoF - Direct Plan,--,37.87,3/9,Very High,Silver-Funds,Unlock,0.12,2022-02-01,"1,536"
Invesco India Gold ETF,--,43.28,3/31,High,Gold-Funds,Unlock,0.55,2010-03-12,283.00
Invesco India Gold ETF FoF - Direct Plan,3,39.14,10/16,High,Gold-Funds,Unlock,0.10,2013-01-01,168.00
Kotak Gold ETF,--,42.50,10/31,High,Gold-Funds,Unlock,0.55,2007-07-27,"7,611"
Kotak Gold Fund - Direct Plan,2,40.71,3/16,High,Gold-Funds,Unlock,0.16,2013-01-01,"3,155"
Kotak Silver ETF,--,38.54,7/21,Very High,Silver-Funds,Unlock,0.45,2022-12-09,"1,395"
Kotak Silver ETF FoF - Direct Plan,--,38.16,1/9,Very High,Silver-Funds,Unlock,0.14,2023-03-31,139.00
LIC MF Gold ETF,--,43.62,2/31,High,Gold-Funds,Unlock,0.41,2011-11-09,404.00
LIC MF Gold ETF FoF - Direct Plan,4,39.20,7/16,High,Gold-Funds,Unlock,0.20,2013-01-01,174.00
Mirae Asset Gold ETF,--,42.42,11/31,High,Gold-Funds,Unlock,0.31,2023-02-20,788.00
Mirae Asset Gold ETF FoF - Direct Plan,--,--,--,Very High,Gold-Funds,Unlock,0.12,2024-10-25,103.00
Mirae Asset Silver ETF,--,38.51,8/21,Very High,Silver-Funds,Unlock,0.35,2023-06-09,120.00
Motilal Oswal Gold and Silver ETFs FoF - Direct Plan,2,39.16,9/16,Very High,Gold-Funds,Unlock,0.14,2022-10-13,371.00
Motilal Oswal Gold ETF,--,--,--,High,Gold-Funds,Unlock,--,--,--
Nippon India ETF Gold BeES,--,42.30,14/31,High,Gold-Funds,Unlock,0.80,2007-03-08,"21,580"
Nippon India Gold Savings Fund - Direct Plan,1,42.51,1/16,High,Gold-Funds,Unlock,0.13,2013-01-01,"3,126"
Nippon India Silver ETF,--,38.22,12/21,Very High,Silver-Funds,Unlock,0.56,2022-02-02,"8,078"
Nippon India Silver ETF FoF - Direct Plan,--,38.10,2/9,Very High,Silver-Funds,Unlock,0.27,2022-02-02,864.00
Quantum Gold Fund,--,43.18,4/31,High,Gold-Funds,Unlock,0.78,2008-02-22,336.00
Quantum Gold Savings Fund - Direct Plan,3,38.11,11/16,High,Gold-Funds,Unlock,0.03,2011-05-19,216.00
SBI Gold ETF,--,42.41,12/31,High,Gold-Funds,Unlock,0.70,2009-05-18,"8,350"
SBI Gold Fund - Direct Plan,4,36.65,12/16,Very High,Gold-Funds,Unlock,0.10,2013-01-01,"4,410"
SBI Silver ETF,--,38.36,10/21,Very High,Silver-Funds,Unlock,0.40,2024-07-03,899.00
SBI Silver ETF FoF - Direct Plan,--,37.66,6/9,Very High,Silver-Funds,Unlock,0.28,2024-07-11,388.00
Tata Gold ETF,--,42.67,7/31,High,Gold-Funds,Unlock,0.38,2024-01-12,747.00
Tata Gold ETF FoF - Direct Plan,--,32.34,15/16,High,Gold-Funds,Unlock,0.24,2024-01-19,269.00
Tata Silver ETF,--,39.50,2/21,Very High,Silver-Funds,Unlock,0.44,2024-01-12,234.00
Tata Silver ETF FoF - Direct Plan,--,37.57,8/9,Very High,Silver-Funds,Unlock,0.19,2024-01-19,137.00
Union Gold ETF,--,--,--,High,Gold-Funds,Unlock,0.54,2025-02-18,137.00
Union Gold ETF FoF - Direct Plan,--,--,--,High,Gold-Funds,Unlock,0.34,2025-02-28,67.00
UTI Gold ETF FoF - Direct Plan,5,35.39,14/16,Very High,Gold-Funds,Unlock,0.18,2022-10-28,289.00
UTI Gold Exchange Traded Fund,--,44.50,1/31,High,Gold-Funds,Unlock,0.48,2007-03-12,"1,968"
UTI Silver ETF,--,39.68,1/21,Very High,Silver-Funds,Unlock,0.53,2023-04-17,261.00
UTI Silver ETF FoF - Direct Plan,--,35.64,9/9,Very High,Silver-Funds,Unlock,0.14,2023-04-21,79.00
Zerodha Gold ETF,--,42.43,2/16,High,Gold-Funds,Unlock,0.32,2024-02-26,327.00
Zerodha Gold ETF FoF - Direct Plan,--,--,--,High,Gold-Funds,Unlock,0.23,2024-11-13,67.00
Zerodha Silver ETF,--,--,--,Very High,Silver-Funds,Unlock,0.33,2025-03-20,34.00
Zerodha Silver ETF FoF - Direct Plan,--,--,--,Very High,Silver-Funds,Unlock,--,2025-07-08,--
