Funds,3 Yr Ret (%),3 Yr Rank,5 Yr Ret (%),5 Yr Rank,10 Yr Ret (%),10 Yr Rank,15 Yr Ret (%),15 Yr Rank,20 Yr Ret (%),20 Yr Rank
360 ONE Dynamic Bond Fund - Direct Plan,8.74,6/23,7.40,4/21,7.73,11/17,--,--,--,--
360 ONE Liquid Fund - Direct Plan,6.89,30/35,5.41,29/34,5.89,28/29,--,--,--,--
360 ONE Overnight Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan,7.92,6/20,6.42,6/17,8.00,2/13,--,--,--,--
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,8.23,7/20,6.70,5/18,7.99,2/12,--,--,--,--
Aditya Birla Sun Life Credit Risk Fund - Direct Plan,11.43,3/14,10.40,4/14,9.21,1/13,--,--,--,--
Aditya Birla Sun Life Credit Risk Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL 10 Year Gilt ETF,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+ AAA PSU Apr 2026 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund - Direct Plan,7.78,17/23,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL-IBX AAA Financial Services Index-Sep 2027 Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL-IBX AAA NBFC-HFC Index-Dec 2025 Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL-IBX AAA NBFC-HFC Index-Sep 2026 Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL-IBX Financial Services 3 to 6 Months Debt Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL-IBX Financial Services 9-12 Months Debt Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL IBX Gilt -Apr 2029 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL IBX Gilt-April 2026 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL IBX Gilt April 2033 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL IBX Gilt June 2027 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL Liquid Overnight ETF,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Debt Plus Arbitrage FOF - Direct Plan,7.79,--,6.35,--,7.56,--,--,--,--,--
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan,8.60,9/23,7.67,2/21,7.17,16/17,--,--,--,--
Aditya Birla Sun Life Dynamic Bond Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Floating Rate Fund - Direct Plan,7.94,10/12,6.52,6/7,7.61,4/5,--,--,--,--
Aditya Birla Sun Life Government Securities Fund - Direct Plan,8.29,15/21,6.20,9/20,8.61,5/20,--,--,--,--
Aditya Birla Sun Life Income Fund - Direct Plan,7.99,10/13,6.20,7/13,7.91,5/13,--,--,--,--
Aditya Birla Sun Life Liquid Fund - Direct Plan,7.12,1/35,5.68,4/34,6.36,3/29,--,--,--,--
Aditya Birla Sun Life Long Duration Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Low Duration Fund - Direct Plan,7.80,5/20,6.58,6/20,7.60,2/19,--,--,--,--
Aditya Birla Sun Life Medium Term Plan - Direct Plan,10.35,1/13,13.06,1/12,9.45,1/10,--,--,--,--
Aditya Birla Sun Life Medium Term Plan - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Money Manager Fund - Direct Plan,7.67,2/20,6.23,2/17,7.03,4/12,--,--,--,--
Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund - Direct Plan,7.88,14/23,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund - Direct Plan,7.57,19/23,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Nifty SDL Sep 2027 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Overnight Fund - Direct Plan,6.46,9/28,5.21,10/27,--,--,--,--,--,--
Aditya Birla Sun Life Retirement Fund - The 50s Plus - Debt Plan - Direct Plan,6.91,23/23,5.20,21/21,--,--,--,--,--,--
Aditya Birla Sun Life Savings Fund - Direct Plan,7.62,2/24,6.32,4/22,7.30,2/11,--,--,--,--
Aditya Birla Sun Life Short Term Fund - Direct Plan,8.32,4/23,7.17,5/21,8.19,2/17,--,--,--,--
Aditya Birla Sun Life US Treasury 1-3 year Bond ETFs FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life US Treasury 3-10 year Bond ETFs FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Angel One Nifty 1D Rate Liquid ETF - Growth,--,--,--,--,--,--,--,--,--,--
Axis Banking & PSU Debt Fund - Direct Plan,7.53,20/20,6.15,10/17,7.60,9/13,--,--,--,--
Axis Corporate Bond Fund - Direct Plan,8.44,2/20,6.95,2/18,--,--,--,--,--,--
Axis Credit Risk Fund - Direct Plan,8.53,9/14,7.77,11/14,8.02,8/13,--,--,--,--
Axis CRISIL IBX 50:50 Gilt Plus SDL Jun 2028 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Axis CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Axis CRISIL-IBX AAA Bond Financial Services - Sep 2027 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Axis CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Axis CRISIL-IBX AAA Bond NBFC - Jun 2027 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Axis CRISIL IBX SDL June 2034 Debt Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Axis CRISIL IBX SDL May 2027 Index Fund - Direct Plan,8.05,11/23,--,--,--,--,--,--,--,--
Axis Dynamic Bond Fund - Direct Plan,8.47,12/23,6.17,15/21,8.26,5/17,--,--,--,--
Axis Floater Fund - Direct Plan,8.69,3/12,--,--,--,--,--,--,--,--
Axis Gilt Fund - Direct Plan,8.60,9/21,6.48,5/20,8.07,10/20,--,--,--,--
Axis Income Plus Arbitrage Active FoF - Direct Plan,8.25,--,6.81,--,--,--,--,--,--,--
Axis Liquid Fund - Direct Plan,7.10,4/35,5.66,9/34,6.33,7/29,--,--,--,--
Axis Long Duration Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Axis Money Market Fund - Direct Plan,7.66,4/20,6.21,4/17,--,--,--,--,--,--
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,7.30,25/28,--,--,--,--,--,--,--,--
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF FoF - Direct Plan,7.19,22/23,--,--,--,--,--,--,--,--
Axis Nifty SDL September 2026 Debt Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Axis Overnight Fund - Direct Plan,6.49,2/28,5.23,3/27,--,--,--,--,--,--
Axis Short Duration Fund - Direct Plan,8.29,6/23,6.74,7/21,8.00,3/17,--,--,--,--
Axis Strategic Bond Fund - Direct Plan,8.84,4/13,7.67,5/12,8.51,2/10,--,--,--,--
Axis Treasury Advantage Fund - Direct Plan,7.70,7/20,6.30,9/20,7.33,5/19,--,--,--,--
Axis Ultra Short Duration Fund - Direct Plan,7.57,3/24,6.27,5/22,--,--,--,--,--,--
Axis US Specific Treasury Dynamic Debt Passive ETF FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bajaj Finserv Banking and PSU Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bajaj Finserv Gilt Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bajaj Finserv Liquid Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bajaj Finserv Money Market Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bajaj Finserv Nifty 1D Rate Liquid ETF - Growth,--,--,--,--,--,--,--,--,--,--
Bajaj Finserv Overnight Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bandhan Banking and PSU Fund - Direct Plan,7.61,18/20,6.17,8/17,7.55,10/13,--,--,--,--
Bandhan Bond Fund Income Plan - Direct Plan,7.17,13/13,4.94,13/13,7.42,8/13,--,--,--,--
Bandhan Bond Fund Medium Term Plan - Direct Plan,7.85,12/13,5.80,11/12,7.46,7/10,--,--,--,--
Bandhan Bond Fund Short Term Plan - Direct Plan,8.08,12/23,6.32,12/21,7.58,9/17,--,--,--,--
Bandhan Corporate Bond Fund - Direct Plan,7.76,17/20,6.15,13/18,--,--,--,--,--,--
Bandhan Credit Risk Fund - Direct Plan,7.78,13/14,6.64,14/14,--,--,--,--,--,--
Bandhan CRISIL-IBX 10:90 Gilt + SDL Index - Dec 2029 Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bandhan CRISIL IBX 90:10 SDL Plus Gilt- April 2032 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bandhan CRISIL IBX 90:10 SDL Plus Gilt- November 2026 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bandhan CRISIL IBX 90:10 SDL Plus Gilt-September 2027 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bandhan CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bandhan Crisil IBX Gilt April 2026 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bandhan CRISIL IBX Gilt April 2028 Index Fund - Direct Plan,8.14,9/23,--,--,--,--,--,--,--,--
Bandhan Crisil IBX Gilt April 2032 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bandhan CRISIL IBX Gilt June 2027 Index Fund - Direct Plan,7.87,15/23,--,--,--,--,--,--,--,--
Bandhan Dynamic Bond Fund - Direct Plan,8.17,15/23,5.86,16/21,8.17,6/17,--,--,--,--
Bandhan Floater Fund - Direct Plan,8.00,8/12,--,--,--,--,--,--,--,--
Bandhan Government Securities Fund - Constant Maturity Plan - Direct Plan,9.21,1/4,5.78,3/4,8.68,2/4,--,--,--,--
Bandhan Government Securities Fund - Investment Plan - Direct Plan,8.41,13/21,6.00,13/20,8.55,6/20,--,--,--,--
Bandhan Income Plus Arbitrage FoF - Direct Plan,7.65,--,6.08,--,7.54,--,--,--,--,--
Bandhan Liquid Fund - Direct Plan,7.06,18/35,5.61,23/34,6.23,23/29,--,--,--,--
Bandhan Long Duration Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bandhan Low Duration Fund - Direct Plan,7.40,20/20,5.93,18/20,7.04,12/19,--,--,--,--
Bandhan Money Market Fund - Direct Plan,7.57,11/20,6.01,12/17,6.74,11/12,--,--,--,--
Bandhan Overnight Fund - Direct Plan,6.45,11/28,5.20,15/27,--,--,--,--,--,--
Bandhan Ultra Short Duration Fund - Direct Plan,7.28,17/24,5.79,19/22,--,--,--,--,--,--
Bandhan US Treasury Bond 0-1 year FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bank of India Credit Risk Fund - Direct Plan,6.14,14/14,27.08,1/14,1.99,13/13,--,--,--,--
Bank of India Liquid Fund - Direct Plan,7.09,9/35,5.65,11/34,6.30,12/29,--,--,--,--
Bank of India Money Market Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bank of India Overnight Fund - Direct Plan,6.53,1/28,5.30,1/27,--,--,--,--,--,--
Bank of India Short Term Income Fund - Direct Plan,10.40,1/23,10.61,1/21,6.40,17/17,--,--,--,--
Bank of India Ultra Short Duration Fund - Direct Plan,6.94,23/24,5.56,21/22,6.80,5/11,--,--,--,--
Baroda BNP Paribas Banking & PSU Bond Fund - Direct Plan,7.84,11/20,--,--,--,--,--,--,--,--
Baroda BNP Paribas Corporate Bond Fund - Direct Plan,8.27,6/20,6.01,15/18,6.66,12/12,--,--,--,--
Baroda BNP Paribas Credit Risk Fund - Direct Plan,8.85,7/14,10.88,3/14,8.79,3/13,--,--,--,--
Baroda BNP Paribas Credit Risk Fund Plan B - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Baroda BNP Paribas Dynamic Bond Fund - Direct Plan,8.78,5/23,6.44,11/21,7.53,13/17,--,--,--,--
Baroda BNP Paribas Gilt Fund - Direct Plan,8.91,3/21,6.11,11/20,7.60,17/20,--,--,--,--
Baroda BNP Paribas Income Plus Arbitrage Active FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Baroda BNP Paribas Liquid Fund - Direct Plan,7.07,17/35,5.66,8/34,6.34,5/29,--,--,--,--
Baroda BNP Paribas Low Duration Fund - Direct Plan,7.63,10/20,6.27,10/20,7.22,8/19,--,--,--,--
Baroda BNP Paribas Medium Duration Plan B - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Baroda BNP Paribas Money Market Fund - Direct Plan,7.28,19/20,5.69,17/17,--,--,--,--,--,--
Baroda BNP Paribas Nifty SDL December 2026 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Baroda BNP Paribas NIFTY SDL December 2028 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Baroda BNP Paribas Overnight Fund - Direct Plan,6.46,10/28,5.21,12/27,--,--,--,--,--,--
Baroda BNP Paribas Short Duration Fund - Direct Plan,8.29,5/23,6.62,9/21,7.73,7/17,--,--,--,--
