Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
360 ONE Dynamic Bond Fund - Direct Plan,0.51,1/23,1.05,3/23,2.22,1/23,6.14,1/23,10.98,1/23
360 ONE Liquid Fund - Direct Plan,0.10,35/40,0.47,35/39,1.52,33/38,3.36,32/38,6.96,32/37
360 ONE Overnight Fund - Direct Plan,0.10,3/37,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan,0.21,3/22,0.64,7/22,1.80,15/22,5.21,10/22,9.41,9/22
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,0.20,9/21,0.64,10/21,1.62,18/21,5.08,19/21,9.53,16/21
Aditya Birla Sun Life Credit Risk Fund - Direct Plan,0.23,4/14,1.15,1/14,2.92,2/14,9.75,3/14,17.97,3/14
Aditya Birla Sun Life Credit Risk Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life CRISIL 10 Year Gilt ETF,-0.01,5/9,0.29,4/9,1.13,2/9,5.58,4/9,--,--
Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,0.14,26/35,0.62,18/35,0.78,10/34,5.13,11/34,9.77,10/33
Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Direct Plan,0.08,86/103,0.57,35/102,2.17,16/102,5.32,36/98,9.61,37/88
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+ AAA PSU Apr 2026 Index Fund - Direct Plan,0.12,48/103,0.50,70/102,1.79,79/102,4.08,93/98,7.87,83/88
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund - Direct Plan,0.12,54/103,0.52,55/102,2.04,43/102,4.70,74/98,8.71,67/88
Aditya Birla Sun Life CRISIL-IBX AAA Financial Services Index-Sep 2027 Fund - Direct Plan,0.13,40/103,0.76,4/102,2.22,11/102,5.27,38/98,--,--
Aditya Birla Sun Life CRISIL-IBX AAA NBFC-HFC Index-Dec 2025 Fund - Direct Plan,0.12,49/103,0.60,32/102,1.90,68/102,4.30,87/98,--,--
Aditya Birla Sun Life CRISIL-IBX AAA NBFC-HFC Index-Sep 2026 Fund - Direct Plan,0.14,31/103,0.73,6/102,2.09,28/102,4.81,65/98,--,--
Aditya Birla Sun Life CRISIL-IBX Financial Services 3 to 6 Months Debt Index Fund - Direct Plan,0.11,14/30,0.59,10/30,1.79,18/29,4.03,16/26,--,--
Aditya Birla Sun Life CRISIL-IBX Financial Services 9-12 Months Debt Index Fund - Direct Plan,0.14,7/24,0.63,6/23,1.98,10/23,--,--,--,--
Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund - Direct Plan,0.05,96/103,0.47,79/102,1.91,67/102,4.80,66/98,8.73,65/88
