Funds,3 Yr Ret (%),3 Yr Rank,5 Yr Ret (%),5 Yr Rank,10 Yr Ret (%),10 Yr Rank,15 Yr Ret (%),15 Yr Rank,20 Yr Ret (%),20 Yr Rank
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
360 ONE FlexiCap Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
360 ONE Focused Fund - Direct Plan,20.95,21/64,23.48,12/50,17.1,1/32,--,--,--,--
360 ONE Quant Fund - Direct Plan,29.25,2/25,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Bal Bhavishya Yojna - Direct Plan,17.21,51/64,16.55,47/50,--,--,--,--,--,--
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,20.69,10/17,22.99,5/12,14.51,5/10,--,--,--,--
Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life BSE India Infrastructure Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life BSE Sensex ETF,15.15,99/121,18.04,73/97,--,--,--,--,--,--
Aditya Birla Sun Life Business Cycle Fund - Direct Plan,17.63,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Conglomerate Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Digital India Fund - Direct Plan,16.31,--,24.98,--,18.36,--,--,--,--,--
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan,23.66,--,24.44,--,12.87,--,--,--,--,--
Aditya Birla Sun Life ELSS Tax Saver - Direct Plan,16.63,30/33,15.92,33/33,11.74,25/26,--,--,--,--
Aditya Birla Sun Life ESG Integration Strategy Fund - Direct Plan,16.89,5/9,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan,20.34,27/64,22.33,17/50,14.71,11/32,--,--,--,--
Aditya Birla Sun Life Focused Fund - Direct Plan,18.8,38/64,20.48,31/50,13.37,21/32,--,--,--,--
Aditya Birla Sun Life Global Emerging Opportunities Fund - Direct Plan,12.95,40/56,11.82,16/31,9.86,12/26,--,--,--,--
