Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan,0.08,14/40,1.23,39/40,4.18,33/40,9.25,16/39,4.02,27/39
360 ONE FlexiCap Fund - Direct Plan,1.33,2/99,3.73,7/98,6.31,41/94,8.49,58/92,4.68,43/84
360 ONE Focused Fund - Direct Plan,1.16,5/99,3.67,9/98,5.28,71/94,10.33,27/92,1.3,66/84
360 ONE Quant Fund - Direct Plan,-0.12,60/113,1.75,85/112,5.88,80/109,12.24,12/98,4.54,23/68
Aditya Birla Sun Life Bal Bhavishya Yojna - Direct Plan,0.31,17/99,3.4,13/98,8.74,7/94,10.33,28/92,4.31,49/84
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,0.17,17/37,2.45,13/37,4.26,22/37,19.34,13/33,12.4,20/30
Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life BSE India Infrastructure Index Fund - Direct Plan,-0.86,18/22,1.32,21/22,2.51,21/21,5.72,20/21,--,--
Aditya Birla Sun Life BSE Sensex ETF,0.17,22/172,1.31,80/170,3.97,92/160,8.97,66/152,4.03,37/146
Aditya Birla Sun Life Business Cycle Fund - Direct Plan,-0.31,--,1.84,--,6.79,--,7.8,--,3.48,--
Aditya Birla Sun Life Conglomerate Fund - Direct Plan,-0.37,76/113,1.12,101/112,6.93,65/109,8.22,54/98,--,--
Aditya Birla Sun Life Digital India Fund - Direct Plan,-0.16,--,-1.02,--,12.03,--,-3.88,--,-1.43,--
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan,-0.8,--,0.91,--,6.33,--,4.08,--,-2.01,--
Aditya Birla Sun Life ELSS Tax Saver - Direct Plan,0.72,5/40,3.1,8/40,8.37,6/40,12.79,2/39,5.15,14/39
Aditya Birla Sun Life ESG Integration Strategy Fund - Direct Plan,-0.1,8/10,1.38,7/10,4.93,5/10,5.86,7/10,4.7,3/9
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan,0.19,30/99,1.59,77/98,5.45,67/94,10.02,31/92,7.07,26/84
Aditya Birla Sun Life Focused Fund - Direct Plan,-0.14,59/99,0.32,91/98,4.92,75/94,8.8,52/92,5.11,41/84
Aditya Birla Sun Life Global Emerging Opportunities Fund - Direct Plan,1.0,45/60,3.28,50/60,18.22,33/60,1.23,53/60,11.56,50/60
Aditya Birla Sun Life Global Excellence Equity FoF - Direct Plan,0.61,52/60,3.85,43/60,17.26,38/60,2.14,50/60,8.77,57/60
Aditya Birla Sun Life India GenNext Fund - Direct Plan,0.63,10/24,2.46,14/24,3.97,10/24,9.07,4/22,3.81,7/16
Aditya Birla Sun Life Infrastructure Fund - Direct Plan,-0.21,8/22,4.21,2/22,9.92,5/21,9.91,8/21,-0.88,11/20
Aditya Birla Sun Life International Equity Fund - Direct Plan,1.28,35/60,3.69,47/60,16.14,42/60,15.37,13/60,24.62,12/60
Aditya Birla Sun Life Large Cap Fund - Direct Plan,0.22,14/111,1.86,36/110,5.16,11/105,10.24,8/99,5.26,11/94
Aditya Birla Sun Life Large & Mid Cap Fund - Direct Plan,0.02,25/60,2.41,12/58,7.64,12/56,9.57,16/52,3.25,27/42
Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan,0.25,39/113,3.44,40/112,9.24,32/109,6.1,68/98,2.01,32/68
Aditya Birla Sun Life Mid Cap Fund - Direct Plan,0.12,18/52,2.77,18/51,8.87,19/51,10.74,10/48,5.91,18/43
Aditya Birla Sun Life MNC Fund - Direct Plan,0.3,--,4.71,--,13.17,--,10.83,--,1.74,--
Aditya Birla Sun Life Multi-Cap Fund - Direct Plan,0.09,11/36,3.36,11/36,8.1,12/35,10.06,11/34,5.73,15/26
Aditya Birla Sun Life NASDAQ 100 FOF - Direct Plan,1.08,42/60,6.1,17/60,28.17,10/60,5.37,37/60,21.24,16/60
Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,0.26,16/73,-1.17,67/71,6.39,24/69,3.24,44/62,-10.62,45/52
Aditya Birla Sun Life Nifty 200 Quality 30 ETF,-0.89,67/73,0.53,50/71,4.55,51/69,3.05,47/62,-3.59,32/52
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund - Direct Plan,-0.08,63/111,1.03,100/110,4.17,51/105,9.06,43/99,2.57,56/94
Aditya Birla Sun Life Nifty 50 ETF,0.08,42/172,1.25,103/170,4.27,27/160,9.47,13/152,4.23,14/146
Aditya Birla Sun Life Nifty 50 Index Fund - Direct Plan,0.08,45/111,1.23,85/110,4.22,40/105,9.36,26/99,4.05,25/94
Aditya Birla Sun Life Nifty Bank ETF,0.08,26/64,2.38,25/64,3.79,38/64,18.22,28/59,11.1,30/54
Aditya Birla Sun Life Nifty Healthcare ETF,-0.59,16/26,4.24,17/25,3.96,17/24,2.8,15/24,11.54,14/20
Aditya Birla Sun Life Nifty India Defence Index Fund - Direct Plan,-2.82,111/113,-9.71,111/112,19.66,5/109,32.01,3/98,--,--
Aditya Birla Sun Life Nifty IT ETF,-1.8,11/26,-3.66,16/26,5.23,18/25,-14.04,14/24,-6.05,14/20
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Direct Plan,-0.2,33/52,2.74,26/51,8.6,29/51,9.55,25/48,4.82,27/43
Aditya Birla Sun Life Nifty Next 50 ETF,-0.71,145/172,2.45,7/170,3.74,116/160,7.99,106/152,-3.92,120/146
Aditya Birla Sun Life Nifty Next 50 Index Fund - Direct Plan,-0.71,98/111,2.43,15/110,3.65,92/105,7.78,82/99,-4.53,92/94
Aditya Birla Sun Life Nifty PSE ETF,-0.34,3/11,0.78,5/11,2.96,9/10,9.95,3/8,-6.9,6/7
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Direct Plan,-1.23,45/46,3.3,42/46,11.18,28/46,9.39,12/43,6.38,15/42
Aditya Birla Sun Life Pharma & Healthcare Fund - Direct Plan,0.61,2/20,5.45,9/19,4.26,15/18,3.83,11/18,10.94,12/14
Aditya Birla Sun Life PSU Equity Fund - Direct Plan,-0.6,4/7,1.62,3/7,3.49,5/7,10.38,3/6,-5.57,4/5
Aditya Birla Sun Life Quant Fund - Direct Plan,0.21,45/113,2.41,66/112,4.38,99/109,7.84,59/98,-2.2,50/68
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Direct Plan,0.3,21/99,3.1,19/98,9.2,6/94,12.26,7/92,8.34,20/84
Aditya Birla Sun Life Small Cap Fund - Direct Plan,-0.67,21/46,4.09,29/46,11.41,24/46,9.67,7/43,1.67,34/42
Aditya Birla Sun Life Special Opportunities Fund - Direct Plan,-0.15,65/113,3.46,38/112,7.65,52/109,9.6,40/98,7.0,10/68
Aditya Birla Sun Life Transportation and Logistics Fund - Direct Plan,1.13,10/113,4.83,12/112,10.32,22/109,9.39,41/98,-2.12,47/68
Aditya Birla Sun Life Value Fund - Direct Plan,-0.91,25/28,1.82,22/28,6.74,10/28,3.98,24/27,0.0,15/24
Angel One Nifty 50 ETF,0.08,49/172,1.24,113/170,--,--,--,--,--,--
Angel One Nifty 50 Index Fund - Direct Plan,0.08,34/111,1.23,84/110,--,--,--,--,--,--
Angel One Nifty Total Market ETF,-0.17,69/108,2.14,46/106,5.95,45/101,--,--,--,--
