Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Analysts' View,Expense Ratio (%),Launch,Net Assets (Cr)
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan,--,4.02,27/39,Very High,EQ-ELSS,Unlock,0.27,2022-12-28,89.0
360 ONE FlexiCap Fund - Direct Plan,--,4.68,46/88,Very High,EQ-FLX,Unlock,0.48,2023-06-30,"1,878"
360 ONE Focused Fund - Direct Plan,4.0,1.3,70/88,Very High,EQ-FLX,Unlock,0.81,2014-10-30,"7,593"
360 ONE Quant Fund - Direct Plan,--,4.54,30/77,Very High,EQ-THEMATIC,Unlock,0.5,2021-11-29,768.0
Aditya Birla Sun Life Bal Bhavishya Yojna - Direct Plan,2.0,4.31,52/88,Very High,EQ-FLX,Unlock,0.9,2019-02-11,"1,155"
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,2.0,12.4,20/30,Very High,EQ-BANK,Unlock,1.06,2013-12-14,"3,625"
Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund - Direct Plan,--,--,--,Very High,EQ-FLX,Unlock,--,--,--
Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Direct Plan,--,--,--,Very High,EQ-FLX,Unlock,--,--,--
Aditya Birla Sun Life BSE India Infrastructure Index Fund - Direct Plan,--,--,--,Very High,EQ-INFRA,Unlock,0.42,2024-12-04,35.0
Aditya Birla Sun Life BSE Sensex ETF,--,4.03,37/146,Very High,EQ-LC,Unlock,0.04,2016-07-18,287.0
Aditya Birla Sun Life Business Cycle Fund - Direct Plan,--,4.27,31/77,Very High,EQ-THEMATIC,Unlock,1.14,2021-12-03,"1,819"
Aditya Birla Sun Life Conglomerate Fund - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,0.59,2024-12-27,"1,647"
Aditya Birla Sun Life Digital India Fund - Direct Plan,--,-1.53,9/15,Very High,EQ-IT,Unlock,0.85,2013-01-01,"5,001"
