Funds,Minimum Investment,Expense Ratio (%),Exit Load (Period),Fund Manager (Tenure)
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan,500.00,0.27,--,Ashish Ongari (0.4)
360 ONE FlexiCap Fund - Direct Plan,"1,000",0.48,1.00 (365),"Mayur Patel (2.1), Ashish Ongari (0.4)"
360 ONE Focused Fund - Direct Plan,"1,000",0.81,1.00 (365),"Mayur Patel (5.7), Ashish Ongari (0.4)"
360 ONE Quant Fund - Direct Plan,"1,000",0.50,1.00 (365),Ashish Ongari (0.4)
Aditya Birla Sun Life Bal Bhavishya Yojna - Direct Plan,"1,000",0.90,--,"Harshil Suvarnkar (4.3), Chanchal Khandelwal (0.7)"
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,"1,000",1.06,1.00 (30),Dhaval Gala (9.9)
Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund - Direct Plan,500.00,--,0.10 (15),Priya Sridhar (0)
Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Direct Plan,500.00,--,0.10 (15),Priya Sridhar (0)
Aditya Birla Sun Life BSE India Infrastructure Index Fund - Direct Plan,500.00,0.42,0.05 (30),Priya Sridhar (0.6)
Aditya Birla Sun Life BSE Sensex ETF,"1,000",0.04,--,Priya Sridhar (0.6)
Aditya Birla Sun Life Business Cycle Fund - Direct Plan,500.00,1.14,1.00 (30),"Dhaval Gala (2.4), Harish Krishnan (1.7)"
Aditya Birla Sun Life Conglomerate Fund - Direct Plan,100.00,0.59,0.50 (90),"Harish Krishnan (0.6), Kunal Sangoi (0.6)"
Aditya Birla Sun Life Digital India Fund - Direct Plan,"1,000",0.85,1.00 (30),Kunal Sangoi (11.5)
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan,"1,000",1.42,1.00 (90),Dhaval Gala (3.3)
Aditya Birla Sun Life ELSS Tax Saver - Direct Plan,500.00,0.93,--,Dhaval Shah (0.7)
Aditya Birla Sun Life ESG Integration Strategy Fund - Direct Plan,500.00,1.42,1.00 (30),Chanchal Khandelwal (0.7)
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan,100.00,0.86,1.00 (90),Harish Krishnan (1.7)
Aditya Birla Sun Life Focused Fund - Direct Plan,"1,000",0.87,1.00 (90),Kunal Sangoi (4.2)
Aditya Birla Sun Life Global Emerging Opportunities Fund - Direct Plan,100.00,0.61,0.25 (28),Dhaval Joshi (2.7)
