Funds,3 Yr Ret (%),3 Yr Rank,5 Yr Ret (%),5 Yr Rank,10 Yr Ret (%),10 Yr Rank,15 Yr Ret (%),15 Yr Rank,20 Yr Ret (%),20 Yr Rank
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
360 ONE FlexiCap Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
360 ONE Focused Fund - Direct Plan,20.24,25/68,23.20,14/54,16.98,2/35,--,--,--,--
360 ONE Quant Fund - Direct Plan,28.39,2/33,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Bal Bhavishya Yojna - Direct Plan,16.83,54/68,16.21,51/54,--,--,--,--,--,--
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,20.08,10/17,22.82,5/12,14.31,5/10,--,--,--,--
Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life BSE India Infrastructure Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life BSE Sensex ETF,14.79,98/121,17.67,74/97,--,--,--,--,--,--
Aditya Birla Sun Life Business Cycle Fund - Direct Plan,17.18,27/33,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Conglomerate Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Digital India Fund - Direct Plan,15.30,6/6,23.91,4/5,18.15,1/4,--,--,--,--
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan,22.82,3/8,23.84,4/6,12.73,5/5,--,--,--,--
Aditya Birla Sun Life ELSS Tax Saver - Direct Plan,16.32,30/33,15.59,33/33,11.62,25/26,--,--,--,--
Aditya Birla Sun Life ESG Integration Strategy Fund - Direct Plan,16.39,5/9,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan,19.73,29/68,22.02,19/54,14.57,15/35,--,--,--,--
Aditya Birla Sun Life Focused Fund - Direct Plan,18.20,41/68,20.05,37/54,13.23,24/35,--,--,--,--
