Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan,-0.48,15/40,-1.31,34/40,3.89,39/40,8.18,18/39,2.81,22/39
360 ONE FlexiCap Fund - Direct Plan,-0.46,32/103,0.44,11/102,6.56,38/99,7.73,62/96,2.06,54/88
360 ONE Focused Fund - Direct Plan,-0.20,19/103,0.70,7/102,5.59,67/99,9.57,31/96,-0.71,72/88
360 ONE Quant Fund - Direct Plan,-1.40,79/124,-1.16,92/121,5.74,86/118,11.68,19/108,1.57,31/77
Aditya Birla Sun Life Bal Bhavishya Yojna - Direct Plan,-0.63,40/103,0.27,16/102,8.88,11/99,10.07,24/96,2.21,51/88
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,-0.64,29/38,-0.80,27/37,3.80,31/37,17.57,16/33,11.58,24/30
Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life BSE India Infrastructure Index Fund - Direct Plan,-2.31,18/22,-2.06,21/22,3.58,21/21,5.04,19/21,--,--
Aditya Birla Sun Life BSE Sensex ETF,-0.35,15/172,-1.26,72/170,3.57,124/160,7.78,94/152,2.95,33/146
Aditya Birla Sun Life Business Cycle Fund - Direct Plan,-1.06,64/124,-0.44,69/121,6.24,80/118,7.32,69/108,2.39,29/77
Aditya Birla Sun Life Conglomerate Fund - Direct Plan,-2.31,109/124,-2.76,109/121,6.13,81/118,6.88,72/108,--,--
Aditya Birla Sun Life Digital India Fund - Direct Plan,-2.02,12/21,-4.49,11/21,7.13,8/20,-6.76,13/19,-4.58,9/15
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan,-2.35,10/10,-1.82,10/10,5.21,5/10,1.95,10/10,-4.56,8/9
Aditya Birla Sun Life ELSS Tax Saver - Direct Plan,-0.19,7/40,0.13,7/40,8.47,5/40,12.23,2/39,3.36,15/39
Aditya Birla Sun Life ESG Integration Strategy Fund - Direct Plan,-0.68,7/10,-1.51,8/10,5.18,2/10,5.06,7/10,3.96,2/9
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan,-0.70,46/103,-1.35,80/102,5.24,76/99,9.27,36/96,5.35,28/88
Aditya Birla Sun Life Focused Fund - Direct Plan,-1.23,84/103,-2.72,94/102,4.00,93/99,7.20,67/96,3.21,40/88
Aditya Birla Sun Life Global Emerging Opportunities Fund - Direct Plan,0.97,--,2.75,--,14.44,--,2.16,--,15.92,--
Aditya Birla Sun Life Global Excellence Equity FoF - Direct Plan,0.94,--,3.16,--,14.50,--,2.93,--,13.27,--
Aditya Birla Sun Life India GenNext Fund - Direct Plan,-0.04,7/24,-0.13,14/24,4.56,13/24,8.87,4/22,2.17,7/16
Aditya Birla Sun Life Infrastructure Fund - Direct Plan,-1.93,12/22,0.92,1/22,10.09,5/21,9.70,7/21,-3.68,11/20
Aditya Birla Sun Life International Equity Fund - Direct Plan,1.48,21/51,4.26,24/51,14.62,30/51,16.18,10/51,27.62,13/51
Aditya Birla Sun Life Large Cap Fund - Direct Plan,-0.40,22/111,-0.85,34/110,4.92,15/105,9.45,9/99,3.66,11/94
Aditya Birla Sun Life Large & Mid Cap Fund - Direct Plan,-1.02,36/63,-0.83,23/60,7.72,15/58,9.19,15/55,0.64,30/44
Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan,-1.02,59/124,0.63,36/121,10.39,31/118,6.60,74/108,-0.11,39/77
Aditya Birla Sun Life Mid Cap Fund - Direct Plan,-1.31,17/52,-0.02,10/52,9.34,21/51,10.77,9/48,3.99,16/43
Aditya Birla Sun Life MNC Fund - Direct Plan,-1.57,3/6,1.38,2/6,12.47,1/6,9.21,1/6,-1.44,2/5
Aditya Birla Sun Life Multi-Cap Fund - Direct Plan,-1.28,19/36,-0.10,13/36,7.98,17/35,9.57,13/34,3.27,14/26
Aditya Birla Sun Life NASDAQ 100 FOF - Direct Plan,1.35,22/51,5.30,18/51,22.36,9/51,6.71,34/51,26.12,17/51
Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,-0.26,12/77,-3.70,69/73,6.19,32/71,2.35,46/65,-12.95,46/54
Aditya Birla Sun Life Nifty 200 Quality 30 ETF,-2.88,73/77,-2.95,55/73,3.20,60/71,0.78,61/65,-5.90,34/54
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund - Direct Plan,-0.97,78/111,-1.56,99/110,3.96,58/105,8.12,46/99,0.96,62/94
Aditya Birla Sun Life Nifty 50 ETF,-0.48,42/172,-1.31,103/170,3.98,59/160,8.39,17/152,3.01,11/146
Aditya Birla Sun Life Nifty 50 Index Fund - Direct Plan,-0.48,35/111,-1.32,78/110,3.93,68/105,8.29,28/99,2.83,26/94
Aditya Birla Sun Life Nifty Bank ETF,0.50,7/65,0.23,18/64,3.96,34/64,17.43,22/59,11.77,25/54
Aditya Birla Sun Life Nifty Healthcare ETF,1.34,4/29,4.48,13/28,7.68,14/27,6.56,14/27,11.83,14/23
Aditya Birla Sun Life Nifty India Defence Index Fund - Direct Plan,-2.05,101/124,-7.92,121/121,20.21,3/118,30.91,2/108,--,--
Aditya Birla Sun Life Nifty IT ETF,-4.07,18/32,-8.60,19/32,1.05,20/31,-17.44,19/30,-9.43,20/26
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Direct Plan,-1.62,34/52,-0.59,29/52,9.29,27/51,9.19,25/48,2.06,27/43
Aditya Birla Sun Life Nifty Next 50 ETF,-1.52,149/172,-0.70,23/170,4.62,30/160,7.83,76/152,-6.35,121/146
Aditya Birla Sun Life Nifty Next 50 Index Fund - Direct Plan,-1.52,104/111,-0.72,28/110,4.52,36/105,7.62,76/99,-6.94,92/94
Aditya Birla Sun Life Nifty PSE ETF,-1.74,4/11,-0.86,3/11,3.35,8/10,9.01,5/8,-11.24,6/7
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Direct Plan,-3.59,43/46,-2.28,43/46,10.25,36/46,8.79,15/43,1.37,17/42
Aditya Birla Sun Life Pharma & Healthcare Fund - Direct Plan,1.75,3/23,5.23,8/22,7.11,14/21,7.01,11/21,10.05,14/17
Aditya Birla Sun Life PSU Equity Fund - Direct Plan,-2.03,5/7,-0.86,3/7,3.78,5/7,9.49,4/6,-8.78,4/5
Aditya Birla Sun Life Quant Fund - Direct Plan,-0.72,43/124,-0.93,89/121,4.91,99/118,7.49,64/108,-4.28,58/77
