Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Analysts' View,Expense Ratio (%),Launch,Net Assets (Cr)
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan,--,2.81,22/39,Very High,EQ-ELSS,Unlock,0.27,2022-12-28,89.00
360 ONE FlexiCap Fund - Direct Plan,--,2.06,54/88,Very High,EQ-FLX,Unlock,0.48,2023-06-30,"1,878"
360 ONE Focused Fund - Direct Plan,4,-0.71,72/88,Very High,EQ-FLX,Unlock,0.81,2014-10-30,"7,593"
360 ONE Quant Fund - Direct Plan,--,1.57,31/77,Very High,EQ-THEMATIC,Unlock,0.50,2021-11-29,768.00
Aditya Birla Sun Life Bal Bhavishya Yojna - Direct Plan,2,2.21,51/88,Very High,EQ-FLX,Unlock,0.90,2019-02-11,"1,155"
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,2,11.58,24/30,Very High,EQ-BANK,Unlock,1.06,2013-12-14,"3,625"
Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund - Direct Plan,--,--,--,Very High,EQ-FLX,Unlock,--,--,--
Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Direct Plan,--,--,--,Very High,EQ-FLX,Unlock,--,--,--
Aditya Birla Sun Life BSE India Infrastructure Index Fund - Direct Plan,--,--,--,Very High,EQ-INFRA,Unlock,0.42,2024-12-04,35.00
Aditya Birla Sun Life BSE Sensex ETF,--,2.95,33/146,Very High,EQ-LC,Unlock,0.04,2016-07-18,287.00
Aditya Birla Sun Life Business Cycle Fund - Direct Plan,--,2.39,29/77,Very High,EQ-THEMATIC,Unlock,1.14,2021-12-03,"1,819"
Aditya Birla Sun Life Conglomerate Fund - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,0.59,2024-12-27,"1,647"
Aditya Birla Sun Life Digital India Fund - Direct Plan,--,-4.58,9/15,Very High,EQ-IT,Unlock,0.85,2013-01-01,"5,001"
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan,--,-4.56,8/9,Very High,EQ-DIV Y,Unlock,1.42,2013-01-01,"1,524"
Aditya Birla Sun Life ELSS Tax Saver - Direct Plan,1,3.36,15/39,Very High,EQ-ELSS,Unlock,0.93,2013-01-01,"15,870"
Aditya Birla Sun Life ESG Integration Strategy Fund - Direct Plan,--,3.96,2/9,Very High,EQ-T-ESG,Unlock,1.42,2020-12-24,653.00
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan,3,5.35,28/88,Very High,EQ-FLX,Unlock,0.86,2013-01-01,"23,606"
Aditya Birla Sun Life Focused Fund - Direct Plan,3,3.21,40/88,Very High,EQ-FLX,Unlock,0.87,2013-01-01,"8,055"
Aditya Birla Sun Life Global Emerging Opportunities Fund - Direct Plan,--,15.92,--,Very High,EQ-INTL,Unlock,0.61,2013-01-01,245.00
Aditya Birla Sun Life Global Excellence Equity FoF - Direct Plan,--,13.27,--,Very High,EQ-INTL,Unlock,0.68,2013-01-01,209.00
Aditya Birla Sun Life India GenNext Fund - Direct Plan,2,2.17,7/16,Very High,EQ-Consumption,Unlock,0.77,2013-01-01,"6,277"
Aditya Birla Sun Life Infrastructure Fund - Direct Plan,2,-3.68,11/20,Very High,EQ-INFRA,Unlock,1.41,2013-01-01,"1,171"
Aditya Birla Sun Life International Equity Fund - Direct Plan,--,27.62,13/51,Very High,EQ-INTL,Unlock,2.07,2013-01-01,215.00
Aditya Birla Sun Life Large Cap Fund - Direct Plan,4,3.66,11/94,Very High,EQ-LC,Unlock,0.95,2013-01-01,"30,927"
Aditya Birla Sun Life Large & Mid Cap Fund - Direct Plan,1,0.64,30/44,Very High,EQ-L&MC,Unlock,1.07,2013-01-01,"5,939"
Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan,--,-0.11,39/77,Very High,EQ-THEMATIC,Unlock,1.34,2015-01-31,"1,085"
Aditya Birla Sun Life Mid Cap Fund - Direct Plan,2,3.99,16/43,Very High,EQ-MC,Unlock,1.02,2013-01-01,"6,205"
Aditya Birla Sun Life MNC Fund - Direct Plan,--,-1.44,2/5,Very High,EQ-MNC,Unlock,1.29,2013-01-01,"3,775"
Aditya Birla Sun Life Multi-Cap Fund - Direct Plan,2,3.27,14/26,Very High,EQ-MLC,Unlock,0.72,2021-05-07,"6,636"
Aditya Birla Sun Life NASDAQ 100 FOF - Direct Plan,--,26.12,17/51,Very High,EQ-INTL,Unlock,0.26,2021-11-01,405.00
Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,--,-12.95,46/54,Very High,EQ-L&MC,Unlock,0.29,2022-08-12,48.00
Aditya Birla Sun Life Nifty 200 Quality 30 ETF,--,-5.90,34/54,Very High,EQ-L&MC,Unlock,0.29,2022-08-12,31.00
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund - Direct Plan,4,0.96,62/94,Very High,EQ-LC,Unlock,0.40,2021-06-08,410.00
Aditya Birla Sun Life Nifty 50 ETF,--,3.01,11/146,Very High,EQ-LC,Unlock,0.04,2011-07-22,"3,068"
Aditya Birla Sun Life Nifty 50 Index Fund - Direct Plan,3,2.83,26/94,Very High,EQ-LC,Unlock,0.20,2013-01-01,"1,111"
Aditya Birla Sun Life Nifty Bank ETF,--,11.77,25/54,Very High,EQ-BANK,Unlock,0.14,2019-10-23,"2,734"
Aditya Birla Sun Life Nifty Healthcare ETF,--,11.83,14/23,Very High,EQ-Pharma,Unlock,0.19,2021-10-20,37.00
Aditya Birla Sun Life Nifty India Defence Index Fund - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,0.31,2024-08-30,732.00
Aditya Birla Sun Life Nifty IT ETF,--,-9.43,20/26,Very High,EQ-IT,Unlock,0.19,2021-10-29,60.00
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Direct Plan,3,2.06,27/43,Very High,EQ-MC,Unlock,0.44,2021-04-01,383.00
Aditya Birla Sun Life Nifty Next 50 ETF,--,-6.35,121/146,Very High,EQ-LC,Unlock,0.09,2018-12-19,140.00
Aditya Birla Sun Life Nifty Next 50 Index Fund - Direct Plan,1,-6.94,92/94,Very High,EQ-LC,Unlock,0.33,2022-02-18,210.00
Aditya Birla Sun Life Nifty PSE ETF,--,-11.24,6/7,Very High,EQ-PSU,Unlock,0.20,2024-05-17,33.00
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Direct Plan,2,1.37,17/42,Very High,EQ-SC,Unlock,0.46,2021-04-01,252.00
Aditya Birla Sun Life Pharma & Healthcare Fund - Direct Plan,2,10.05,14/17,Very High,EQ-Pharma,Unlock,1.04,2019-07-11,840.00
Aditya Birla Sun Life PSU Equity Fund - Direct Plan,--,-8.78,4/5,Very High,EQ-PSU,Unlock,0.53,2019-12-30,"5,687"
