Funds,Minimum Investment,Expense Ratio (%),Exit Load (Period),Fund Manager (Tenure)
360 ONE Balanced Hybrid Fund - Direct Plan,"1,000",0.45,1.00 (360),"Milan Mody (1.9), Mayur Patel (1.9), Manumaharaj Saravanaraj (1.1), Ashish Ongari (0.4)"
360 ONE Multi Asset Allocation Fund - Direct Plan,"1,000",--,1.00 (360),"Mayur Patel (0), Milan Mody (0), Rahul Khetawat (0)"
Aditya Birla Sun Life Arbitrage Fund - Direct Plan,"1,000",0.31,0.25 (15),"Lovelish Solanki (10.6), Mohit Sharma (0.4)"
Aditya Birla Sun Life Asset Allocator FoF - Direct Plan,"1,000",0.35,1.00 (365),Vinod Bhat (6)
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan,100.00,0.68,0.25 (7),"Mohit Sharma (8.3), Lovelish Solanki (5.8), Harish Krishnan (0.7)"
Aditya Birla Sun Life Equity Hybrid '95 Fund - Direct Plan,100.00,1.05,1.00 (90),"Chanchal Khandelwal (2.4), Harshil Suvarnkar (4.4)"
Aditya Birla Sun Life Equity Savings Fund - Direct Plan,"1,000",0.61,0.25 (7),"Lovelish Solanki (0.8), Harshil Suvarnkar (4.4), Atul Penkar (0.7)"
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Direct Plan,100.00,0.37,1.00 (365),Vinod Bhat (6)
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Direct Plan,100.00,0.60,1.00 (365),Vinod Bhat (6)
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Direct Plan,100.00,0.60,1.00 (365),Vinod Bhat (6)
Aditya Birla Sun Life Multi Asset Allocation Fund - Direct Plan,500.00,0.55,1.00 (365),"Bhupesh Bameta (2.5), Sachin Wankhede (2.5), Dhaval Gala (0.7)"
Aditya Birla Sun Life Multi - Index FoF - Direct Plan,100.00,0.24,0.50 (15),Vinod Bhat (2.4)
Aditya Birla Sun Life Regular Savings Fund - Direct Plan,"1,000",1.02,1.00 (90),"Harshil Suvarnkar (4.4), Mohit Sharma (0.7)"
Aditya Birla Sun Life Retirement Fund - The 40s Plan - Direct Plan,"1,000",1.01,--,"Harshil Suvarnkar (4.4), Chanchal Khandelwal (0.7)"
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Direct Plan,"1,000",0.61,--,"Harshil Suvarnkar (4.4), Mohit Sharma (0.7)"
Axis Aggressive Hybrid Fund - Direct Plan,500.00,1.06,1.00 (365),"Aditya Pagaria (2.5), Jayesh Sundar (1.8), Devang Shah (1.3)"
Axis Arbitrage Fund - Direct Plan,500.00,0.33,0.25 (15),"Devang Shah (11), Karthik Kumar (2.1), Sachin Jain (3.7)"
Axis Balanced Advantage Fund - Direct Plan,100.00,0.74,1.00 (365),"Hardik Shah (3.5), Devang Shah (1.3), Jayesh Sundar (1.8)"
Axis Children's - Direct Plan,"5,000",1.29,3.00 (365),"Jayesh Sundar (1.8), Devang Shah (1.3), Hardik Shah (2.5)"
Axis Conservative Hybrid Fund - Direct Plan,500.00,0.91,1.00 (30),"Jayesh Sundar (1.8), Devang Shah (9.1), Sachin Jain (4.9)"
Axis Equity Savings Fund - Direct Plan,500.00,1.06,1.00 (30),"Devang Shah (1.3), Mayank Hyanki (1.2), Hardik Shah (2.5)"
Axis Multi Asset Allocation Fund - Direct Plan,100.00,1.04,1.00 (365),"Devang Shah (1.3), Aditya Pagaria (1.2), Ashish Naik (9.1), Hardik Shah (1.3), Pratik Tibrewal (0.5)"
Axis Retirement Fund - Aggressive Plan - Direct Plan,"5,000",1.05,--,"Devang Shah (1.3), Hardik Shah (1.3), Jayesh Sundar (1.5)"
Axis Retirement Fund - Conservative Plan - Direct Plan,"5,000",0.92,--,"Jayesh Sundar (1.5), Devang Shah (1.3), Hardik Shah (1.3)"
Axis Retirement Fund - Dynamic Plan - Direct Plan,"5,000",1.28,--,"Jayesh Sundar (1.5), Devang Shah (1.3), Hardik Shah (1.3)"
Bajaj Finserv Arbitrage Fund - Direct Plan,500.00,0.33,0.25 (15),"Siddharth Chaudhary (1.9), Ilesh Savla (1.9)"
Bajaj Finserv Balanced Advantage Fund - Direct Plan,500.00,0.53,1.00 (180),"Nimesh Chandan (1.7), Siddharth Chaudhary (1.7), Sorbh Gupta (1.7)"
Bajaj Finserv Equity Savings Fund - Direct Plan,500.00,--,0.25 (7),"Siddharth Chaudhary (0), Sorbh Gupta (0), Ilesh Savla (0)"
Bajaj Finserv Multi Asset Allocation Fund - Direct Plan,500.00,0.52,1.00 (365),"Siddharth Chaudhary (1.2), Sorbh Gupta (1.2), Vinay Bafna (1.2), Anup Kulkarni (0.1)"
Bandhan Aggressive Hybrid Fund - Direct Plan,"1,000",0.92,1.00 (365),"Harshal Joshi (4), Prateek Poddar (1.1)"
Bandhan Arbitrage Fund - Direct Plan,100.00,0.35,0.25 (15),"Kapil Kankonkar (0.1), Harshal Joshi (8.8)"
Bandhan Asset Allocation Fund - Aggressive Plan - Direct Plan,"1,000",0.48,1.00 (365),Viraj Kulkarni (3.1)
Bandhan Asset Allocation Fund - Conservative Plan - Direct Plan,"1,000",0.18,1.00 (365),Viraj Kulkarni (3.1)
Bandhan Asset Allocation Fund - Moderate Plan - Direct Plan,"1,000",0.41,1.00 (365),Viraj Kulkarni (3.1)
Bandhan Balanced Advantage Fund - Direct Plan,"1,000",0.75,0.50 (90),"Manish Gunwani (1.5), Vishal Biraia (0.6), Brijesh Shah (3)"
Bandhan Conservative Hybrid Fund - Direct Plan,"1,000",1.05,0.25 (7),"Viraj Kulkarni (3.1), Harshal Joshi (4)"
Bandhan Equity Savings Fund - Direct Plan,"1,000",0.19,0.25 (7),"Kapil Kankonkar (0.1), Viraj Kulkarni (3.1), Harshal Joshi (8.8)"
Bandhan Multi Asset Allocation Fund - Direct Plan,"1,000",0.47,0.50 (365),"Kapil Kankonkar (0.1), Daylynn Gerard Paul Pinto (1.5), Viraj Kulkarni (1.5), Gautam Kaul (1.5)"
Bandhan Retirement Fund - Direct Plan,"1,000",0.70,--,"Gautam Kaul (1.8), Viraj Kulkarni (0.6), Vishal Biraia (1.5)"
Bank of India Arbitrage Fund - Direct Plan,"5,000",0.43,0.50 (15),Nilesh Jethani (0)
Bank of India Balanced Advantage Fund - Direct Plan,"5,000",1.40,1.00 (90),Alok Singh (3.7)
Bank of India Conservative Hybrid Fund - Direct Plan,"10,000",1.28,1.00 (365),Alok Singh (12.6)
Bank of India Mid & Small Cap Equity & Debt Fund - Direct Plan,"5,000",0.86,1.00 (90),Alok Singh (8.4)
Bank of India Multi Asset Allocation Fund - Direct Plan,"5,000",0.92,1.00 (360),"Nilesh Jethani (1.3), Mithraem Bharucha (1.5)"
