Funds,3 Yr Ret (%),3 Yr Rank,5 Yr Ret (%),5 Yr Rank,10 Yr Ret (%),10 Yr Rank,15 Yr Ret (%),15 Yr Rank,20 Yr Ret (%),20 Yr Rank
360 ONE Balanced Hybrid Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
360 ONE Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Arbitrage Fund - Direct Plan,7.69,7/24,6.29,5/23,6.43,6/14,--,--,--,--
Aditya Birla Sun Life Asset Allocator FoF - Direct Plan,17.75,10/21,17.63,5/13,12.50,--,--,--,--,--
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan,15.33,9/27,15.50,6/22,12.00,1/10,--,--,--,--
Aditya Birla Sun Life Equity Hybrid '95 Fund - Direct Plan,15.31,36/42,17.85,22/39,11.30,17/23,--,--,--,--
Aditya Birla Sun Life Equity Savings Fund - Direct Plan,10.18,16/22,10.87,16/22,8.71,7/9,--,--,--,--
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Direct Plan,18.57,7/21,18.79,4/13,13.14,1/7,--,--,--,--
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Direct Plan,12.94,21/21,11.94,12/13,9.59,7/7,--,--,--,--
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Direct Plan,15.73,16/21,15.31,10/13,11.27,4/7,--,--,--,--
Aditya Birla Sun Life Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Multi - Index FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Regular Savings Fund - Direct Plan,10.60,17/28,12.25,4/25,9.55,5/21,--,--,--,--
Aditya Birla Sun Life Retirement Fund - The 40s Plan - Direct Plan,16.01,28/42,14.79,38/39,--,--,--,--,--,--
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Direct Plan,10.25,20/28,6.93,25/25,--,--,--,--,--,--
Axis Aggressive Hybrid Fund - Direct Plan,13.36,40/42,15.50,35/39,--,--,--,--,--,--
Axis Arbitrage Fund - Direct Plan,7.55,15/24,6.26,7/23,6.51,4/14,--,--,--,--
Axis Balanced Advantage Fund - Direct Plan,16.06,5/27,14.58,10/22,--,--,--,--,--,--
Axis Children's - Direct Plan,12.54,42/42,14.89,37/39,--,--,--,--,--,--
Axis Conservative Hybrid Fund - Direct Plan,9.31,24/28,9.46,17/25,8.10,17/21,--,--,--,--
Axis Equity Savings Fund - Direct Plan,11.87,11/22,12.15,10/22,--,--,--,--,--,--
Axis Multi Asset Allocation Fund - Direct Plan,13.38,19/21,15.28,11/13,11.49,3/7,--,--,--,--
Axis Retirement Fund - Aggressive Plan - Direct Plan,16.40,23/42,15.94,34/39,--,--,--,--,--,--
Axis Retirement Fund - Conservative Plan - Direct Plan,11.13,14/28,10.79,9/25,--,--,--,--,--,--
Axis Retirement Fund - Dynamic Plan - Direct Plan,16.90,3/27,16.82,3/22,--,--,--,--,--,--
Bajaj Finserv Arbitrage Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bajaj Finserv Balanced Advantage Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bajaj Finserv Equity Savings Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bajaj Finserv Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bandhan Aggressive Hybrid Fund - Direct Plan,17.87,17/42,20.64,10/39,--,--,--,--,--,--
Bandhan Arbitrage Fund - Direct Plan,7.70,6/24,6.24,8/23,6.41,9/14,--,--,--,--
Bandhan Asset Allocation Fund - Aggressive Plan - Direct Plan,15.36,35/42,16.30,33/39,10.48,21/23,--,--,--,--
Bandhan Asset Allocation Fund - Conservative Plan - Direct Plan,9.77,23/28,8.75,21/25,8.15,16/21,--,--,--,--
Bandhan Asset Allocation Fund - Moderate Plan - Direct Plan,12.95,2/4,12.61,2/4,9.46,2/4,--,--,--,--
Bandhan Balanced Advantage Fund - Direct Plan,13.14,21/27,12.32,17/22,9.85,8/10,--,--,--,--
Bandhan Conservative Hybrid Fund - Direct Plan,8.65,27/28,7.67,23/25,7.55,19/21,--,--,--,--
Bandhan Equity Savings Fund - Direct Plan,9.11,21/22,9.47,21/22,7.63,--,--,--,--,--
Bandhan Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bandhan Retirement Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bank of India Arbitrage Fund - Direct Plan,6.76,23/24,5.19,23/23,--,--,--,--,--,--
Bank of India Balanced Advantage Fund - Direct Plan,12.72,23/27,12.14,18/22,7.79,10/10,--,--,--,--
Bank of India Conservative Hybrid Fund - Direct Plan,8.76,26/28,12.42,3/25,8.20,15/21,--,--,--,--
Bank of India Mid & Small Cap Equity & Debt Fund - Direct Plan,22.45,4/42,27.01,1/39,--,--,--,--,--,--
Bank of India Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Baroda BNP Paribas Aggressive Hybrid Fund - Direct Plan,17.85,18/42,18.55,20/39,--,--,--,--,--,--
Baroda BNP Paribas Arbitrage Fund - Direct Plan,7.58,13/24,6.18,13/23,--,--,--,--,--,--
Baroda BNP Paribas Balanced Advantage Fund - Direct Plan,17.25,2/27,16.70,4/22,--,--,--,--,--,--
Baroda BNP Paribas Conservative Hybrid Fund - Direct Plan,10.68,16/28,9.30,19/25,9.11,9/21,--,--,--,--
Baroda BNP Paribas Equity Savings Fund - Direct Plan,11.82,12/22,9.66,20/22,--,--,--,--,--,--
Baroda BNP Paribas Multi Asset Active FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Baroda BNP Paribas Multi Asset Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Baroda BNP Paribas Retirement Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Canara Robeco Balanced Advantage Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Canara Robeco Conservative Hybrid Fund - Direct Plan,10.40,19/28,10.14,13/25,9.17,7/21,--,--,--,--
Canara Robeco Equity Hybrid Fund - Direct Plan,16.33,25/42,17.61,25/39,13.27,7/23,--,--,--,--
Canara Robeco Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
DSP Aggressive Hybrid Fund - Direct Plan,18.81,10/42,19.06,16/39,13.43,6/23,--,--,--,--
DSP Arbitrage Fund - Direct Plan,7.59,12/24,6.10,16/23,--,--,--,--,--,--
