Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
360 ONE Balanced Hybrid Fund - Direct Plan,-0.29,4/6,0.34,1/6,3.86,3/6,6.44,3/6,6.00,5/6
360 ONE Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Arbitrage Fund - Direct Plan,0.19,5/32,0.63,11/32,1.60,4/32,3.78,3/31,7.70,2/27
Aditya Birla Sun Life Asset Allocator FoF - Direct Plan,-0.58,30/43,-0.34,37/43,4.05,27/41,8.54,23/40,7.38,25/37
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan,-0.50,26/38,-0.15,20/38,4.27,11/38,8.62,3/37,8.03,4/36
Aditya Birla Sun Life Equity Hybrid '95 Fund - Direct Plan,-0.31,14/44,-0.41,29/44,5.63,13/44,8.07,18/44,4.19,30/44
Aditya Birla Sun Life Equity Savings Fund - Direct Plan,--,7/23,0.58,5/23,2.91,12/23,5.62,7/22,7.77,7/22
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Direct Plan,-0.69,36/43,-0.51,41/43,5.06,18/41,9.04,20/40,5.14,35/37
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Direct Plan,-0.26,18/43,0.21,25/43,2.14,39/41,6.40,36/40,7.26,26/37
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Direct Plan,-0.52,29/43,-0.20,34/43,3.75,29/41,7.98,30/40,6.54,28/37
Aditya Birla Sun Life Multi Asset Allocation Fund - Direct Plan,-0.68,35/43,0.35,22/43,5.36,13/41,10.32,8/40,10.40,13/37
Aditya Birla Sun Life Multi - Index FoF - Direct Plan,-0.58,31/43,-0.70,43/43,3.02,37/41,5.19,39/40,3.70,36/37
Aditya Birla Sun Life Regular Savings Fund - Direct Plan,-0.01,7/28,0.66,4/28,3.00,5/28,6.80,1/28,9.71,1/28
Aditya Birla Sun Life Retirement Fund - The 40s Plan - Direct Plan,-0.35,17/44,0.01,14/44,5.29,17/44,8.36,11/44,8.17,6/44
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Direct Plan,0.05,6/28,0.61,7/28,2.62,13/28,5.77,10/28,7.80,11/28
Axis Aggressive Hybrid Fund - Direct Plan,-0.31,15/44,0.18,7/44,4.46,30/44,8.12,17/44,5.73,17/44
Axis Arbitrage Fund - Direct Plan,0.17,19/32,0.62,22/32,1.54,14/32,3.67,12/31,7.52,12/27
Axis Balanced Advantage Fund - Direct Plan,-0.47,24/38,-0.39,27/38,2.38,34/38,5.73,31/37,6.65,12/36
Axis Children's - Direct Plan,-0.27,8/44,-0.08,15/44,4.44,31/44,7.68,23/44,6.10,14/44
Axis Conservative Hybrid Fund - Direct Plan,-0.19,15/28,0.22,19/28,1.54,23/28,5.69,11/28,7.71,12/28
Axis Equity Savings Fund - Direct Plan,-0.04,10/23,0.28,13/23,2.33,16/23,4.47,18/22,5.88,15/22
Axis Multi Asset Allocation Fund - Direct Plan,-0.16,14/43,0.51,19/43,4.82,20/41,8.42,26/40,6.61,27/37
Axis Retirement Fund - Aggressive Plan - Direct Plan,-0.54,25/44,-0.84,39/44,3.76,40/44,7.47,26/44,4.90,25/44
Axis Retirement Fund - Conservative Plan - Direct Plan,-0.67,28/28,-0.25,28/28,0.91,27/28,4.17,27/28,5.18,26/28
Axis Retirement Fund - Dynamic Plan - Direct Plan,-0.46,22/38,-0.19,22/38,4.67,8/38,6.33,24/37,4.93,25/36
Bajaj Finserv Arbitrage Fund - Direct Plan,0.17,23/32,0.63,16/32,1.44,27/32,3.40,25/31,7.06,23/27
