"SYMBOL 
","ISSUE PRICE 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30D   %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"SGBNOV25IX","2,914.00","9,990.00","9,990.00","9,990.00","9,842.76","9,990.00","-","147.24","1.50","1","-","10,200.00","7,250.00",-2.06,"15-Jul-2024","34.09","16-Jun-2025"
"SGBDC27VII","-","10,000.00","10,100.00","10,000.00","9,982.67","10,100.00","-","117.33","1.18","76","0.08","10,100.00","7,205.55",2.03,"18-Jul-2024","27.04","18-Jun-2025"
"SGBAUG29V","-","9,950.00","10,000.00","9,950.00","9,930.47","10,000.00","-","69.53","0.70","310","0.31","10,512.00","7,312.01",0.31,"18-Jul-2024","26.41","18-Jun-2025"
"SGBDEC2512","2,840.00","9,850.24","9,850.24","9,850.24","9,784.00","9,850.24","-","66.24","0.68","2","-","10,000.00","7,260.00",-1.5,"12-Jul-2024","29.59","18-Jun-2025"
"SGBFEB28IX","-","9,899.99","9,899.99","9,899.99","9,850.00","9,899.99","-","49.99","0.51","6","0.01","9,950.00","7,160.00",0,"15-Jul-2024","30.26","13-Jun-2025"
"SGBJUL25","2,780.00","9,800.00","9,800.00","9,761.00","9,750.00","9,799.99","-","49.99","0.51","54","0.05","9,970.00","7,015.70",-0.98,"18-Jul-2024","26.31","18-Jun-2025"
"SGBOCT25V","2,921.00","9,825.00","9,825.00","9,825.00","9,781.03","9,825.00","-","43.97","0.45","2","-","10,000.00","7,161.00",-1.75,"18-Jul-2024","27.60","16-Jun-2025"
"SGBNV29VII","-","9,900.00","9,900.00","9,835.00","9,833.97","9,875.00","-","41.03","0.42","313","0.31","10,126.23","7,300.01",-0.13,"18-Jul-2024","25.31","18-Jun-2025"
"SGBJU29III","-","9,860.00","9,879.90","9,836.00","9,841.03","9,879.90","-","38.87","0.39","10","0.01","9,979.99","7,276.00",-0.05,"18-Jul-2024","25.75","18-Jun-2025"
"SGBJUN29II","-","9,850.00","9,879.99","9,801.00","9,841.77","9,879.99","-","38.22","0.39","169","0.17","9,999.00","7,290.00",-0.25,"18-Jul-2024","25.38","18-Jun-2025"
"SGBAPR28I","-","9,910.00","9,950.00","9,875.00","9,893.17","9,930.00","-","36.83","0.37","128","0.13","10,095.22","7,211.00",-0.15,"18-Jul-2024","24.47","18-Jun-2025"
"SGBJUN31I","-","10,061.25","10,131.00","10,041.00","10,061.25","10,095.00","-","33.75","0.34","347","0.35","10,414.64","7,488.00",-1.48,"18-Jul-2024","25.38","18-Jun-2025"
"SGBFEB29XI","-","9,868.83","9,899.00","9,834.01","9,868.83","9,899.00","-","30.17","0.31","58","0.06","10,040.00","7,300.00",-0.31,"18-Jul-2024","25.73","18-Jun-2025"
"SGBJUN28","-","9,825.00","9,855.00","9,810.00","9,826.80","9,854.99","-","28.19","0.29","218","0.21","10,096.25","7,150.50",-0.15,"18-Jul-2024","26.17","18-Jun-2025"
"SGBJUL27","-","-","-","-","9,793.33","9,819.00","-","25.67","0.26","-","-","10,000.00","7,250.00",-2.07,"18-Jul-2024","24.12","18-Jun-2025"
"SGBFEB32IV","-","10,870.00","10,943.00","10,867.37","10,867.37","10,893.00","-","25.63","0.24","948","1.03","11,147.70","7,616.00",0.41,"18-Jul-2024","33.09","18-Jun-2025"
"SGBSEP28VI","-","9,846.01","9,880.00","9,846.01","9,851.00","9,873.00","-","22.00","0.22","18","0.02","10,130.83","7,301.00",-0.27,"18-Jul-2024","24.68","18-Jun-2025"
"SGBJAN27","3,164.00","9,805.00","9,860.00","9,805.00","9,840.00","9,860.00","-","20.00","0.20","134","0.13","9,991.00","7,270.00",-1.2,"18-Jul-2024","23.27","17-Jun-2025"
"SGBAUG28V","-","10,125.20","10,125.20","9,865.00","9,878.25","9,894.98","-","16.73","0.17","412","0.41","10,125.20","7,344.00",-0.23,"18-Jul-2024","23.76","18-Jun-2025"
"SGBOC28VII","-","9,806.00","9,874.99","9,806.00","9,850.00","9,867.00","-","17.00","0.17","152","0.15","9,990.00","7,300.00",-0.39,"18-Jul-2024","25.84","18-Jun-2025"
"SGBJAN29IX","-","9,835.15","9,858.81","9,830.00","9,835.15","9,852.00","-","16.85","0.17","149","0.15","10,099.00","7,272.00",-0.8,"18-Jul-2024","25.59","18-Jun-2025"
"SGBMAY28","-","9,897.97","9,897.97","9,832.50","9,848.73","9,864.25","-","15.52","0.16","103","0.10","10,000.00","7,240.00",-0.26,"18-Jul-2024","26.30","18-Jun-2025"
"SGBSEP31II","-","10,119.00","10,141.99","10,095.10","10,095.01","10,110.20","-","15.19","0.15","605","0.61","10,475.00","7,521.70",-1.25,"18-Jul-2024","25.20","18-Jun-2025"
"SGBMAR28X","-","9,801.01","9,895.00","9,801.01","9,825.01","9,840.00","-","14.99","0.15","9","0.01","10,100.00","7,211.00",-0.53,"18-Jul-2024","24.58","18-Jun-2025"
"SGBN28VIII","-","9,890.00","9,989.00","9,890.00","9,890.00","9,904.00","-","14.00","0.14","54","0.05","10,140.00","7,300.00",-0.24,"18-Jul-2024","25.53","18-Jun-2025"
"SGBSEP27","-","9,820.00","9,836.00","9,820.00","9,820.61","9,831.00","-","10.39","0.11","26","0.03","9,999.00","7,310.00",-0.42,"18-Jul-2024","26.11","18-Jun-2025"
"SGBFEB27","3,276.00","9,825.00","9,850.24","9,825.00","9,830.00","9,841.00","-","11.00","0.11","26","0.03","9,950.00","7,200.00",-0.11,"18-Jul-2024","27.81","18-Jun-2025"
"SGBJUL28IV","-","9,830.00","9,843.89","9,821.00","9,830.00","9,839.60","-","9.60","0.10","845","0.83","9,994.00","7,200.00",-0.81,"18-Jul-2024","25.48","18-Jun-2025"
"SGBAUG27","-","9,930.00","9,975.00","9,920.15","9,911.61","9,920.15","-","8.54","0.09","13","0.01","10,230.00","7,362.00",-0.19,"18-Jul-2024","26.69","18-Jun-2025"
"SGBMAR30X","-","9,905.00","9,995.00","9,905.00","9,931.66","9,941.00","-","9.34","0.09","43","0.04","10,475.00","7,148.00",-2.09,"18-Jul-2024","25.15","18-Jun-2025"
"SGBMAR31IV","-","10,051.00","10,085.00","10,035.00","10,051.00","10,060.00","-","9.00","0.09","213","0.21","10,274.00","7,450.00",-1.21,"18-Jul-2024","26.15","18-Jun-2025"
"SGBDE30III","-","10,098.99","10,289.98","9,905.55","10,017.99","10,025.00","-","7.01","0.07","190","0.19","10,289.98","7,415.00",-0.1,"18-Jul-2024","25.31","18-Jun-2025"
"SGBMR29XII","-","9,840.00","9,879.99","9,840.00","9,870.00","9,875.00","-","5.00","0.05","185","0.18","9,950.00","7,341.01",-0.37,"18-Jul-2024","25.94","18-Jun-2025"
"SGBOCT25IV","2,937.00","9,825.00","9,825.00","9,825.00","9,821.00","9,825.00","-","4.00","0.04","10","0.01","10,049.00","7,111.00",-0.41,"18-Jul-2024","28.60","18-Jun-2025"
"SGBSEP29VI","-","9,899.99","9,899.99","9,751.00","9,857.35","9,861.00","-","3.65","0.04","175","0.17","9,999.90","7,301.00",-0.44,"18-Jul-2024","25.51","18-Jun-2025"
"SGBDE31III","-","10,249.00","10,249.00","10,200.00","10,208.86","10,210.00","-","1.14","0.01","648","0.66","10,498.36","7,560.00",-1.08,"18-Jul-2024","27.29","18-Jun-2025"
"SGBNOV25","2,884.00","9,850.24","9,850.24","9,850.00","9,849.00","9,850.00","-","1.00","0.01","9","0.01","10,397.90","7,175.00","-","15-Jul-2024","30.88","-"
"SGBDEC26","3,069.00","10,200.01","10,200.01","10,200.01","10,200.01","10,200.01","-","-","-","1","-","10,200.01","7,200.00",2,"18-Jul-2024","35.91","18-Jun-2025"
"SGBOCT25","2,906.00","-","-","-","9,849.00","9,849.00","-","-","-","-","-","10,050.00","7,151.00",-1.51,"18-Jul-2024","28.83","18-Jun-2025"
"SGBNOV258","2,911.00","-","-","-","9,849.00","9,849.00","-","-","-","-","-","10,000.00","7,100.00",-0.51,"18-Jul-2024","31.32","17-Jun-2025"
"SGBNOV25VI","2,895.00","-","-","-","9,850.00","9,850.00","-","-","-","-","-","9,860.00","7,300.00",-0.1,"18-Jul-2024","31.21","17-Jun-2025"
"SGBDEC2513","2,816.00","-","-","-","9,826.00","9,826.00","-","-","-","-","-","10,000.00","7,245.00",-1.49,"18-Jul-2024","26.84","16-Jun-2025"
"SGBJAN26","2,831.00","-","-","-","9,959.99","9,959.99","-","-","-","-","-","10,000.00","7,166.01",-0.2,"18-Jul-2024","28.93","18-Jun-2025"
"SGBDEC25","2,911.00","9,950.00","9,950.00","9,950.00","9,950.00","9,950.00","-","-","-","1","-","10,500.00","7,250.00",-0.49,"15-Jul-2024","24.41","18-Jun-2025"
"SGBOCT27VI","-","9,850.00","9,850.00","9,850.00","9,850.00","9,850.00","-","-","-","3","-","9,950.00","7,200.00",0.31,"18-Jul-2024","26.30","18-Jun-2025"
"SGBDEC25XI","2,902.00","-","-","-","9,800.04","9,800.04","-","-","-","-","-","10,692.00","7,252.05","-","18-Jul-2024","31.46","-"
"SGBD29VIII","-","9,900.00","9,900.00","9,865.00","9,876.23","9,870.00","-","-6.23","-0.06","52","0.05","9,997.00","7,301.00",-0.36,"18-Jul-2024","24.58","18-Jun-2025"
"SGBMAY29I","-","9,989.99","9,989.99","9,806.00","9,872.66","9,855.00","-","-17.66","-0.18","261","0.26","10,045.12","7,282.00",-0.3,"18-Jul-2024","24.55","18-Jun-2025"
"SGBJUN27","-","-","-","-","9,829.33","9,811.01","-","-18.32","-0.19","-","-","10,000.00","7,200.00",-0.61,"18-Jul-2024","27.46","18-Jun-2025"
"SGBJUL29IV","-","9,865.00","9,866.00","9,830.00","9,889.25","9,866.00","-","-23.25","-0.24","619","0.61","9,989.99","7,250.00",-0.71,"18-Jul-2024","25.05","18-Jun-2025"
"SGBJ28VIII","-","9,825.00","9,825.00","9,825.00","9,850.00","9,825.00","-","-25.00","-0.25","10","0.01","10,049.00","7,251.00",-1.75,"18-Jul-2024","23.04","18-Jun-2025"
"SGBJUN30","-","10,021.00","10,049.00","10,002.00","10,038.00","10,002.00","-","-36.00","-0.36","58","0.06","10,299.00","7,300.00",-0.15,"18-Jul-2024","24.87","18-Jun-2025"
"SGBJAN30IX","-","9,940.00","9,997.98","9,901.01","9,940.00","9,901.01","-","-38.99","-0.39","36","0.04","10,194.72","7,100.00",-1.63,"18-Jul-2024","24.64","18-Jun-2025"
"SGBMAY26","3,064.00","9,810.00","9,810.02","9,810.00","9,850.00","9,810.02","-","-39.98","-0.41","2","-","10,100.00","7,211.05",-0.36,"18-Jul-2024","26.58","18-Jun-2025"
"SGBNOV26","3,133.00","9,850.00","9,850.00","9,800.00","9,899.99","9,849.94","-","-50.05","-0.51","33","0.03","10,000.00","7,100.00",-1.5,"15-Jul-2024","23.39","18-Jun-2025"
"SGBAUG30","-","10,199.00","10,199.00","10,001.19","10,071.18","10,010.00","-","-61.18","-0.61","152","0.15","10,399.00","7,426.00",-1.85,"18-Jul-2024","24.70","18-Jun-2025"
"SGBJAN29X","-","9,856.00","9,889.00","9,824.00","9,909.04","9,839.99","-","-69.05","-0.70","287","0.28","10,148.54","7,305.00",-1.03,"18-Jul-2024","24.13","18-Jun-2025"
"SGBOCT27","-","9,869.00","9,869.00","9,800.00","9,869.00","9,800.00","-","-69.00","-0.70","5","-","10,099.00","7,210.00",-0.41,"18-Jul-2024","26.21","18-Jun-2025"
"SGBOCT26","3,096.00","9,870.00","9,870.00","9,801.00","9,899.99","9,801.00","-","-98.99","-1.00","5","-","10,090.00","7,275.00",-1.99,"18-Jul-2024","24.85","18-Jun-2025"
