"SYMBOL 
","ISSUE PRICE 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30D   %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"SGBNOV25IX","2,914.00","9,950.01","10,417.43","9,950.01","9,900.00","10,417.43","-","517.43","5.23","12","0.01","10,417.43","7,250.00",5.12,"02-Aug-2024","40.78","09-Jul-2025"
"SGBJAN26","2,831.00","10,300.00","11,300.00","10,300.00","10,395.00","10,774.99","-","379.99","3.66","30","0.03","11,300.00","7,201.00",10.24,"05-Aug-2024","44.63","09-Jul-2025"
"SGBNOV26","3,133.00","10,600.00","10,903.24","10,100.01","10,480.00","10,800.00","-","320.00","3.05","59","0.06","10,903.24","7,115.01",10.26,"07-Aug-2024","45.95","09-Jul-2025"
"SGBDC27VII","-","10,100.00","10,400.00","10,100.00","10,100.00","10,399.99","-","299.99","2.97","92","0.09","10,499.99","7,300.00",5.05,"08-Aug-2024","37.75","09-Jul-2025"
"SGBSEP27","-","10,180.00","10,249.99","10,180.00","10,022.00","10,240.00","-","218.00","2.18","79","0.08","10,249.99","7,400.00",5.03,"08-Aug-2024","35.50","09-Jul-2025"
"SGBOCT26","3,096.00","10,051.00","10,444.00","10,051.00","10,225.00","10,444.00","-","219.00","2.14","4","-","10,444.00","7,300.00",4.96,"08-Aug-2024","39.25","08-Jul-2025"
"SGBJAN27","3,164.00","10,299.90","10,299.90","10,201.00","10,005.00","10,201.00","-","196.00","1.96","8","0.01","10,299.90","7,335.00",3.77,"08-Aug-2024","33.35","08-Jul-2025"
"SGBJ28VIII","-","10,036.00","10,350.00","10,036.00","10,020.06","10,206.00","-","185.94","1.86","47","0.05","10,350.00","7,251.00",3.83,"06-Aug-2024","37.92","08-Jul-2025"
"SGBDE31III","-","10,949.27","10,949.27","10,682.20","10,682.22","10,880.00","-","197.78","1.85","1,710","1.85","10,949.27","7,641.00",7.47,"08-Aug-2024","41.11","09-Jul-2025"
"SGBMAY26","3,064.00","10,150.50","10,500.00","10,081.01","10,100.00","10,279.49","-","179.49","1.78","37","0.04","10,500.00","7,211.05",3.83,"08-Aug-2024","38.72","09-Jul-2025"
"SGBJUN30","-","10,320.00","10,700.00","10,320.00","10,317.73","10,500.00","-","182.27","1.77","113","0.12","10,875.00","7,425.00",5.6,"08-Aug-2024","39.55","09-Jul-2025"
"SGBAUG29V","-","10,305.00","10,700.00","10,305.00","10,270.54","10,450.00","-","179.46","1.75","95","0.10","10,858.26","7,421.00",5.92,"08-Aug-2024","38.79","09-Jul-2025"
"SGBJUN31I","-","10,583.37","10,810.00","10,583.37","10,572.21","10,755.00","-","182.79","1.73","1,235","1.33","10,810.00","7,600.00",7.75,"08-Aug-2024","40.53","09-Jul-2025"
"SGBJUN27","-","10,151.64","10,199.00","10,013.94","10,001.62","10,174.00","-","172.38","1.72","82","0.08","10,199.90","7,285.00",4.72,"08-Aug-2024","36.56","09-Jul-2025"
"SGBDEC25","2,911.00","10,200.00","10,200.00","10,200.00","10,050.00","10,200.00","-","150.00","1.49","1","-","10,500.00","7,250.00",2.01,"08-Aug-2024","34.21","08-Jul-2025"
"SGBJAN29X","-","10,134.99","10,248.00","10,134.99","10,090.82","10,240.00","-","149.18","1.48","178","0.18","10,248.00","7,325.00",4.7,"08-Aug-2024","37.41","09-Jul-2025"
"SGBOCT25V","2,921.00","10,091.05","10,201.64","10,091.05","10,055.00","10,201.64","-","146.64","1.46","2","-","10,201.64","7,161.00",3.95,"08-Aug-2024","37.86","09-Jul-2025"
"SGBDEC2512","2,840.00","10,200.00","10,200.00","10,050.11","10,058.07","10,199.00","-","140.93","1.40","37","0.04","10,200.00","7,260.00","-","08-Aug-2024","36.44","-"
"SGBOCT27","-","10,019.65","10,210.65","10,019.65","10,070.00","10,200.00","-","130.00","1.29","16","0.02","10,250.00","7,235.01",4.08,"08-Aug-2024","37.65","09-Jul-2025"
"SGBDE30III","-","10,500.00","10,744.99","10,500.00","10,466.42","10,600.01","-","133.59","1.28","203","0.22","10,744.99","7,500.00",6.84,"08-Aug-2024","39.32","09-Jul-2025"
"SGBJU29III","-","10,152.00","10,249.00","10,152.00","10,121.36","10,249.00","-","127.64","1.26","65","0.07","10,249.00","7,305.00",5.42,"08-Aug-2024","37.85","09-Jul-2025"
"SGBJAN29IX","-","10,131.00","10,250.00","10,131.00","10,119.00","10,246.90","-","127.90","1.26","107","0.11","10,341.18","7,300.00",5.47,"08-Aug-2024","38.12","09-Jul-2025"
"SGBJUL27","-","10,150.01","10,221.00","10,150.01","10,095.00","10,221.00","-","126.00","1.25","6","0.01","10,221.00","7,250.00",3.8,"08-Aug-2024","38.22","09-Jul-2025"
"SGBAUG30","-","10,490.00","10,549.98","10,470.00","10,374.94","10,500.00","-","125.06","1.21","256","0.27","10,595.99","7,590.00",5.37,"08-Aug-2024","37.09","09-Jul-2025"
"SGBJUN29II","-","10,159.00","10,250.00","10,130.00","10,128.01","10,249.00","-","120.99","1.19","215","0.22","10,250.00","7,316.00",5.76,"08-Aug-2024","36.84","09-Jul-2025"
"SGBFEB27","3,276.00","10,155.00","10,292.15","10,155.00","10,177.50","10,292.00","-","114.50","1.13","29","0.03","10,689.00","7,300.00",5.25,"08-Aug-2024","38.15","09-Jul-2025"
"SGBAPR28I","-","10,230.00","10,244.00","10,178.00","10,130.88","10,244.00","-","113.12","1.12","252","0.26","10,244.00","7,400.00",4.31,"08-Aug-2024","37.88","09-Jul-2025"
"SGBFEB32IV","-","11,666.00","11,695.80","11,475.00","11,466.47","11,593.00","-","126.53","1.10","1,489","1.72","11,695.80","7,700.00",6.08,"08-Aug-2024","45.94","09-Jul-2025"
"SGBFEB28IX","-","10,189.00","10,190.00","10,189.00","10,080.00","10,190.00","-","110.00","1.09","5","0.01","10,190.00","7,210.00",5.05,"07-Aug-2024","36.05","09-Jul-2025"
"SGBMAR31IV","-","10,743.99","10,839.96","10,644.01","10,585.00","10,700.00","-","115.00","1.09","289","0.31","10,839.96","7,601.10",7.18,"08-Aug-2024","38.76","09-Jul-2025"
"SGBSEP31II","-","10,778.99","10,849.90","10,689.98","10,689.98","10,805.09","-","115.11","1.08","735","0.79","10,849.90","7,650.00",7.22,"08-Aug-2024","40.57","09-Jul-2025"
"SGBNOV258","2,911.00","10,180.00","10,296.00","10,180.00","10,196.77","10,296.00","-","99.23","0.97","7","0.01","10,296.00","7,100.00",6.16,"07-Aug-2024","37.30","09-Jul-2025"
"SGBN28VIII","-","10,170.50","10,255.00","10,170.50","10,148.99","10,244.00","-","95.01","0.94","371","0.38","10,375.00","7,330.00",3.57,"08-Aug-2024","37.95","09-Jul-2025"
"SGBMAY29I","-","10,060.01","10,245.00","10,060.01","10,130.15","10,221.00","-","90.85","0.90","944","0.96","10,245.00","7,350.00",4.96,"08-Aug-2024","37.54","09-Jul-2025"
"SGBJUL29IV","-","10,150.00","10,251.00","10,150.00","10,134.69","10,220.00","-","85.31","0.84","248","0.25","10,251.00","7,251.00",4.86,"08-Aug-2024","38.03","09-Jul-2025"
"SGBD29VIII","-","10,116.00","10,320.00","10,116.00","10,234.00","10,320.00","-","86.00","0.84","147","0.15","10,320.00","7,301.00",5.78,"08-Aug-2024","37.60","09-Jul-2025"
"SGBMAY28","-","10,115.00","10,200.00","10,115.00","10,115.00","10,198.90","-","83.90","0.83","138","0.14","10,200.00","7,351.10",4.93,"08-Aug-2024","37.88","09-Jul-2025"
"SGBOC28VII","-","10,200.00","10,250.00","10,200.00","10,168.33","10,250.00","-","81.67","0.80","232","0.24","10,250.00","7,351.05",5.21,"08-Aug-2024","38.14","09-Jul-2025"
"SGBFEB29XI","-","10,186.99","10,239.00","10,150.01","10,167.47","10,239.00","-","71.53","0.70","458","0.47","10,239.00","7,400.00",2.54,"08-Aug-2024","38.04","09-Jul-2025"
"SGBMR29XII","-","10,190.00","10,241.00","10,190.00","10,170.00","10,241.00","-","71.00","0.70","207","0.21","10,241.00","7,350.00",5.47,"08-Aug-2024","37.81","09-Jul-2025"
"SGBJUL28IV","-","10,144.23","10,197.95","10,135.00","10,129.77","10,197.95","-","68.18","0.67","894","0.91","10,197.95","7,311.00",4.5,"08-Aug-2024","37.33","09-Jul-2025"
"SGBJAN30IX","-","10,300.00","10,450.00","10,300.00","10,256.66","10,325.00","-","68.34","0.67","315","0.33","10,450.00","7,265.00",5.25,"08-Aug-2024","36.64","09-Jul-2025"
"SGBJUN28","-","10,150.00","10,222.00","10,110.02","10,124.38","10,189.00","-","64.62","0.64","535","0.54","10,222.00","7,335.01",5.11,"08-Aug-2024","37.74","09-Jul-2025"
"SGBSEP29VI","-","10,142.00","10,400.00","10,142.00","10,244.80","10,300.00","-","55.20","0.54","171","0.18","10,400.00","7,350.00",6.18,"08-Aug-2024","36.99","09-Jul-2025"
"SGBSEP28VI","-","10,200.50","10,250.00","10,200.00","10,176.07","10,230.00","-","53.93","0.53","121","0.12","10,250.00","7,301.00",5.14,"08-Aug-2024","37.48","09-Jul-2025"
"SGBAUG28V","-","10,111.20","10,271.00","10,111.20","10,199.79","10,244.99","-","45.20","0.44","1,408","1.44","10,271.00","7,344.00",4.95,"08-Aug-2024","36.25","09-Jul-2025"
"SGBMAR30X","-","10,400.00","10,665.00","10,400.00","10,396.99","10,430.00","-","33.01","0.32","162","0.17","10,665.00","7,432.01",4.68,"08-Aug-2024","36.45","09-Jul-2025"
"SGBAUG27","-","10,012.01","10,260.00","10,012.01","10,170.00","10,202.00","-","32.00","0.31","64","0.07","10,399.75","7,422.05",3.74,"08-Aug-2024","30.67","09-Jul-2025"
"SGBMAR28X","-","10,100.24","10,220.00","10,100.24","10,189.90","10,220.00","-","30.10","0.30","99","0.10","10,285.00","7,342.00",4.92,"08-Aug-2024","37.62","09-Jul-2025"
"SGBOCT25IV","2,937.00","10,222.00","10,250.00","10,141.01","10,222.20","10,221.72","-","-0.48","-","21","0.02","10,499.00","7,111.00",2.84,"08-Aug-2024","37.59","09-Jul-2025"
"SGBDEC25XI","2,902.00","-","-","-","9,950.00","9,950.00","-","-","-","-","-","10,692.00","7,252.05",1.53,"08-Aug-2024","34.46","08-Jul-2025"
"SGBOCT27VI","-","-","-","-","10,100.00","10,100.00","-","-","-","-","-","10,100.00","7,300.00",3.91,"08-Aug-2024","37.41","09-Jul-2025"
"SGBNOV25VI","2,895.00","-","-","-","9,904.02","9,904.02","-","-","-","-","-","9,953.00","7,320.00","-","05-Aug-2024","32.04","-"
"SGBDEC2513","2,816.00","-","-","-","9,999.00","9,999.00","-","-","-","-","-","10,000.00","7,351.00",1.77,"06-Aug-2024","36.02","07-Jul-2025"
"SGBOCT25","2,906.00","10,350.00","10,399.44","10,055.01","10,399.98","10,399.44","-","-0.54","-0.01","14","0.01","10,399.99","7,151.00",5.86,"08-Aug-2024","41.97","09-Jul-2025"
