"SYMBOL 
","ISSUE PRICE 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30D   %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"SGBFEB32IV","-","10,978.73","11,187.00","10,931.00","10,924.11","11,070.00","-","145.89","1.34","1,569","1.73","11,200.00","7,616.00",2.12,"30-Jul-2024","37.80","30-Jun-2025"
"SGBJAN27","3,164.00","9,925.00","10,000.00","9,925.00","9,901.00","10,000.00","-","99.00","1.00","67","0.07","10,000.00","7,270.00",1.13,"30-Jul-2024","33.10","30-Jun-2025"
"SGBNOV25IX","2,914.00","9,860.28","9,900.00","9,860.28","9,820.01","9,900.00","-","79.99","0.81","11","0.01","10,200.00","7,250.00",-1.3,"30-Jul-2024","32.70","27-Jun-2025"
"SGBOCT25","2,906.00","9,942.00","9,950.00","9,942.00","9,881.00","9,950.00","-","69.00","0.70","18","0.02","10,100.00","7,151.00",-1.19,"30-Jul-2024","33.11","25-Jun-2025"
"SGBNOV25","2,884.00","9,885.00","9,975.00","9,885.00","9,880.36","9,950.00","-","69.64","0.70","13","0.01","10,397.90","7,210.01",1.87,"30-Jul-2024","33.50","30-Jun-2025"
"SGBD29VIII","-","9,940.00","9,993.84","9,876.00","9,936.76","9,993.84","-","57.08","0.57","53","0.05","10,041.00","7,301.00",1.73,"30-Jul-2024","31.77","30-Jun-2025"
"SGBJUN27","-","9,985.00","9,985.00","9,985.00","9,930.00","9,985.00","-","55.00","0.55","5","-","10,000.00","7,200.00",2.27,"30-Jul-2024","33.92","30-Jun-2025"
"SGBNOV258","2,911.00","9,840.12","9,905.00","9,840.12","9,854.26","9,905.00","-","50.74","0.51","2","-","10,000.00","7,100.00",1.07,"30-Jul-2024","37.78","30-Jun-2025"
"SGBJAN29X","-","9,920.63","9,969.00","9,900.00","9,920.63","9,968.99","-","48.36","0.49","31","0.03","10,148.54","7,325.00",2.12,"30-Jul-2024","32.56","30-Jun-2025"
"SGBFEB27","3,276.00","9,925.00","9,999.00","9,920.00","9,964.99","9,999.00","-","34.01","0.34","200","0.20","9,999.00","7,300.00",2.73,"30-Jul-2024","32.87","30-Jun-2025"
